,Causal Phrase,Sentiment
3245,Sound super,POSITIVE
3246,nice sound,POSITIVE
3247,Sound quality is very poor,NEGATIVE
3248,Only Sound is not upto mark,NEUTRAL
3249,sound are very nice,POSITIVE
3250,Sound quality is very poor,NEGATIVE
3251,sound quality is poor sone,NEGATIVE
3252,good tv  good view good sound,POSITIVE
3253,it is best LED tv sound,POSITIVE
3254,Large enough for a homeGood sound,NEUTRAL
3255,sound Nice,POSITIVE
3256,Sound good,POSITIVE
3257,nice product sound quality,POSITIVE
3258,audio clearance amazing with affordable,POSITIVE
3259,quality sound quality also good,POSITIVE
3260,Everything is good sound And picture,POSITIVE
3261,sound quality also good worth,POSITIVE
3262,quality are very good sound,POSITIVE
3263,awesome sound quality superb,POSITIVE
3264,good sound,POSITIVE
3265,Awesome quality sound ð is fantasti,POSITIVE
3266,best tv at this range superb sound,POSITIVE
3267,awesome tv with good sound,POSITIVE
3268,sound everything is perfect,POSITIVE
3269,good picturegood sound,POSITIVE
3270,sound ok,POSITIVE
3271,pictures good sound good osm,POSITIVE
3272,Excellent product with great sound,POSITIVE
3273,very good TV Great sound quality,POSITIVE
3274,the sound quality is excellent,POSITIVE
3275,awesome sound quality,POSITIVE
3276,sound quality awesome,POSITIVE
3277,sound is bit low,NEGATIVE
3278,sound quality AWESOME,POSITIVE
3279,sound quality is awesome,POSITIVE
3280,Value for money fast delivery free service,POSITIVE
3281,Delivery is good thanks,POSITIVE
3282,delivery overall Nice,POSITIVE
3283,Good purchase delivery,POSITIVE
3284,Quality is very good value for money Excellent service,POSITIVE
3285,Super fast delivery,POSITIVE
3286,Amazing product in such a reasonable priceExcellent service,POSITIVE
3287,Nice delivery nice product,POSITIVE
3288,Great product Nice delivery Excellent installation,POSITIVE
3289,All r awesome fast delivery,POSITIVE
3290,Awsome product value for money Delivery very good,POSITIVE
3291,best value for money android smart tv timely delivery,POSITIVE
3292,Really bad product with bad connectivityAlso Flipkart customer service,NEGATIVE
3293,It will not working properly worst chormecast service,POSITIVE
3294,product fast delivery,NEUTRAL
3295,LUMINARY LIFESTYLE FAST DELIVERY VERY NICE,POSITIVE
3296,It's nice service,POSITIVE
3297,Thank you flipkart for the fast delivery,POSITIVE
3298,Thank you Flipkart very fast delivery nice,POSITIVE
3299,Nice Product fast delivery installation amazing,POSITIVE
3300,Thanks filpcard for fast delivery,POSITIVE
3301,Thanks Flipkart Best prodect very fast services delivered,POSITIVE
3302,picture quality Nice modelAs expected Nice service,POSITIVE
3303,product good delivery,POSITIVE
3304,Super nice product delivery,POSITIVE
3305,osmBest tv in this price rangeFlipcart service,NEUTRAL
3306,service will be so bad,NEGATIVE
3307,good servicing instalation within two days fast service,POSITIVE
3308,nice fast delivery thank,POSITIVE
3309,Superb product ans delivery on time tooThanks,POSITIVE
3310,overall ExperienceBEST QUALITY VALUE FOR MONEY TVDelivery,POSITIVE
3311,thanks for on-time delivering nice service,POSITIVE
3312,rest the price: Value for money Product Delivery,POSITIVE
3313,value for money product delivery services,POSITIVE
3314,delivery great thanks,POSITIVE
3315,Thanks ekart fast delivery,POSITIVE
3316,Nice product I happy with thatExcellent service,POSITIVE
3317,Super fast delivery flipkart thanks,POSITIVE
3318,Thx to flipkart the delivery is before than delivery date,POSITIVE
3319,product 100% secitfaction fast service,NEUTRAL
3320,value for money product osm product fast delivery,POSITIVE
3321,Thanks Flipkart Service very,POSITIVE
3322,Great onlineshopping experience product is good delivery service,POSITIVE
3323,good installationgood service,POSITIVE
3324,worst worst jeevas installation  no demo is given,NEGATIVE
3325,all OK  Filpkart service is very good thanks,POSITIVE
3326,Best value for money Android smart tvTimely delivery,POSITIVE
3327,Good product for MI    Fast delivery,POSITIVE
3328,Good product installation,POSITIVE
3329,delivery boy was,NEUTRAL
3330,Worth to buy really good product packaging,POSITIVE
3331,As per the rule Technician,NEUTRAL
3332,good price good quality on time delivery,POSITIVE
3333,Excellent product  value for money with fast installation,POSITIVE
3334,good product amazing price very good service,POSITIVE
3335,productGood DeliveryAll Good Thanks,POSITIVE
3336,nice product very fast installation thank,POSITIVE
3337,Best quality best item best service I love,POSITIVE
3338,picture is very nice sounds nice fast  delivery,POSITIVE
3339,product  good service,POSITIVE
3340,good work by flipkart they delivered,POSITIVE
3341,product good value of money MI after sale service,POSITIVE
3342,product good service price very low only 11000 thanks,POSITIVE
3343,Thanks Flipkart Best product Short delivery timeAndQuick installation,POSITIVE
3344,great delivery,POSITIVE
3345,led is good also service of Jeeves,POSITIVE
3346,Nice product thanks flipkart for fastest delivery,POSITIVE
3347,thane jeeves sandeep jambhure Very good service thank,POSITIVE
3348,super duper #Mi good service thanks,POSITIVE
3349,sound quality is also awesome thanks flipkart for to delivery,POSITIVE
3350,good product good servicing installations service is satisfied,POSITIVE
3351,fast service fast delivery,NEUTRAL
3352,excellent TV at excellent price with excellent delivery,POSITIVE
3353,quality is good Service,POSITIVE
3354,Good sound  Value for Money Overall Good productDelivery,POSITIVE
3355,First of all Thanks to flipcart for super fast delivery,POSITIVE
3356,service Flipkart nice TV picture quality,POSITIVE
3357,Thank you Flipkart for your awesome speed of delivery,POSITIVE
3358,product good delivered thanks Flipkart Iâm so happy,POSITIVE
3359,productvalue for moneyThanks flipkart to quick delivery,NEUTRAL
3360,Flipkart for time to time best service thank,POSITIVE
3361,best product value of moneyfast delivery,POSITIVE
3362,nice delivery,POSITIVE
3363,filpkart service installation good engineer vinod khichi,POSITIVE
3364,for price good delivery ekart good demo,POSITIVE
3365,food product picture quality very good service,POSITIVE
3366,Thank you flipkart for ur fast delivery,POSITIVE
3367,nice TV nice picture quality 3 days delivery,POSITIVE
3368,product   good packaging guality picture,POSITIVE
3369,Nice tv In this Range Thanks Mi And delivery,POSITIVE
3370,nice Flipkart fast delivery  thanks,POSITIVE
3371,best delivery best product,POSITIVE
3372,Excellent service in courier boy thank,POSITIVE
3373,Best TV Best serviceBest priceBest Jeeves,POSITIVE
3374,"product,  service is too good",POSITIVE
3375,Fast delivery excellent service thank,POSITIVE
3376,product by mi And thanks too Flipkart Fastest delivery,POSITIVE
3377,worst worst service by the installer jeeves,NEGATIVE
3378,LED Very Excellent  Good Flipkart Service,POSITIVE
3379,fast delivery from flipkart,NEUTRAL
3380,good delivery products awesome TV  sajin also good demo,POSITIVE
3381,Nice product worth of money Flipkart nice delivery,POSITIVE
3382,delivery is super fastinstallation person too good,POSITIVE
3383,Right time To Delivery and Installations super Services from flipkartGood,POSITIVE
3384,Complete pakeag in Good price fast delivery,POSITIVE
3385,very nice TV good condition valuable,POSITIVE
3386,installation services is very poor Need to improve,NEGATIVE
3387,wow nice delivery package fast delivery awesome,POSITIVE
3388,time delivery really good,POSITIVE
3389,"product, nice tv,  delivery is good , fast installation thanks",POSITIVE
3390,product fast delivered an fast installation service thanks to Flipkart,POSITIVE
3391,awesome quality in good range receive in good condition,POSITIVE
3392,Good service nice worth,POSITIVE
3393,"nice smart Android TV,,,, flipkart delivery is very fast,, thanks",POSITIVE
3394,good but installation is not good nice product,POSITIVE
3395,really nice productthanks mithnks flipkart for fast delivery,POSITIVE
3396,good but mobile conecting very poor or demo sevice,NEGATIVE
3397,good productgood service good installation,POSITIVE
3398,delivery time is good thanks,POSITIVE
3399,For the product3/10 For the installationGood,NEUTRAL
3400,good delivery,POSITIVE
3401,thanks flipkart best service,POSITIVE
3402,why the hell does this tv don't support NETFLIX,NEGATIVE
3403,fast delivery quick Installation thanks,POSITIVE
3404,Fast delivery UHD also amazing,POSITIVE
3405,thanks Flipkart to super fast delivery,POSITIVE
3406,Thanks to flipkart for super quick delivery,POSITIVE
3407,Product And Very Good Service,POSITIVE
3408,Product good But Delivery,POSITIVE
3409,delivery delivery boy is a good,POSITIVE
3410,delivery delivery boy is a good,POSITIVE
3411,Best product best service,POSITIVE
3412,installation person with,NEUTRAL
3413,Super fast delivery,POSITIVE
3414,Delivery person is very polite and nice guy thank you flipkart for on time delivery,POSITIVE
3415,am so happy ððvery fast delive,POSITIVE
3416,Thank you flipkart for timely delivery,POSITIVE
3417,fast after sale service,NEUTRAL
3418,amazing fast delivery,POSITIVE
3419,Excellent productsExcellent service,POSITIVE
3420,From Flipkart always appreciated fast delivery,POSITIVE
3421,Awesome product â¤ï¸â¤ï¸And also delivery,POSITIVE
3422,Good delivery,POSITIVE
3423,product nice service,POSITIVE
3424,excellent services  thank,POSITIVE
3425,Product delivery is nice,POSITIVE
3426,Super delivery tv demo,POSITIVE
3427,Good service,POSITIVE
3428,good product service,POSITIVE
3429,product with good services,POSITIVE
3430,product with good services,POSITIVE
3431,Nyc work fast deliveryI am happy with flipkart service,POSITIVE
3432,Flipkart Jeeves installation,NEUTRAL
3433,Its awesome delivery,POSITIVE
3434,Excellent delivery service with fast,POSITIVE
3435,Thanks for prompt delivery,POSITIVE
3436,Thanks for the timely delivery,POSITIVE
3437,Fast delivery of flipkart on doorstep thanks,POSITIVE
3438,to Flipkart for good delivery,POSITIVE
3439,Thanks for filpkart fast delivery,POSITIVE
3440,good productGood delivery,POSITIVE
3441,Awesome installation service. fast delivery fast installationTechnician was very calm,POSITIVE
3442,Thanks a lot to flipkart for your fast delivery,POSITIVE
3443,qualityAnd service also good,POSITIVE
3444,Super nice service,POSITIVE
3445,delivery amazing,POSITIVE
3446,thank u Very much fast delivery,POSITIVE
3447,Delivery very fast best,POSITIVE
3448,Flipkart you are awesome delivery,POSITIVE
3449,also not showing proper demo,NEUTRAL
3450,product nice service thank,POSITIVE
3451,Awesome video Quality nice delivery,POSITIVE
3452,Thanks Flipkart for awesome delivery,POSITIVE
3453,ontime delivery as ensured by Flipkart in a well good,POSITIVE
3454,Great picture qualityFast delivery,POSITIVE
3455,Wonderful TV worth for Money Delivery,POSITIVE
3456,Nice delivery,POSITIVE
3457,Super fast delivery,POSITIVE
3458,Thank you for the quick delivery :) nice product,POSITIVE
3459,service for Flipkart good picture quality&,POSITIVE
3460,mi led installation by ahmed boxwala by jeeves service,NEUTRAL
3461,fast delivery thanks,POSITIVE
3462,super fast delivery,POSITIVE
3463,Superb service,POSITIVE
3464,Super fast delivery,POSITIVE
3465,delivery Good,POSITIVE
3466,super TV thank flipkart for nicely delivered,POSITIVE
3467,delivery not damage well my side full happy,POSITIVE
3468,thank u flipkart for the amazing service,POSITIVE
3469,nice producte quick delivery,POSITIVE
3470,BEST PRODUCT IN THIS RANGE INSTALLATION IS VERY FAST,POSITIVE
3471,installation on time delivery good service excellent,POSITIVE
3472,super fast delivery,POSITIVE
3473,Nice product by mi 4a pro TVBest services,POSITIVE
3474,thanks to flipkart for fast delivery,POSITIVE
3475,Good  product amazing delivery,POSITIVE
3476,value for moneyfast delivery,POSITIVE
3477,Product ð Fast Deliver,NEUTRAL
3478,nice smart Led by Mi thanks flipkart for faster delivery,POSITIVE
3479,demo is worst,NEGATIVE
3480,installation service is very poor,NEGATIVE
3481,Good service jeeves good demo,POSITIVE
3482,flipkart is excellent in delivery,POSITIVE
3483,fast service i am happy ð Than,POSITIVE
3484,picture quality was great fast delivery,POSITIVE
3485,good quality good services,POSITIVE
3486,product fast delivery,NEUTRAL
3487,on time deliveryvalue for money product,NEUTRAL
3488,worst service,NEGATIVE
3489,Thank you flipkart for fast delivery,POSITIVE
3490,#Nice product value for money #And the installation,POSITIVE
3491,deal good delivery,POSITIVE
3492,product very good delivery,POSITIVE
3493,service team is very bad too late,NEGATIVE
3494,Awesome flipcart your excellent service,POSITIVE
3495,Nice tv Best delivery,POSITIVE
3496,nice delivery timing thanks,POSITIVE
3497,Poor delivery systemSever issue of,NEGATIVE
3498,super fast service,POSITIVE
3499,product fast service really happy,POSITIVE
3500,product fast service really happy,POSITIVE
3501,for such a good product delivery,POSITIVE
3502,good But installation bad bad service,NEGATIVE
3503,for money received in good condition,POSITIVE
3504,great delivery as well great product,POSITIVE
3505,very good  tv delivery is realy nice,POSITIVE
3506,TV is good at this price with fast delivery,POSITIVE
3507,Amazing  fast delivery,POSITIVE
3508,feedback by ROHIT pardeshi And service is also good,POSITIVE
3509,good demo,POSITIVE
3510,supper very good service product very good in this budget,POSITIVE
3511,Fast delivered for FlipkartThanks,NEUTRAL
3512,service is also good,POSITIVE
3513,good service from syed jeelan of Jeeves,POSITIVE
3514,lightening fast delivery thanks,POSITIVE
3515,delivery man is so good,POSITIVE
3516,product Happy with Flipkart service,POSITIVE
3517,nice tv nice customer service,POSITIVE
3518,Good product good Tv delivery,POSITIVE
3519,service by you guys thanks,POSITIVE
3520,superr i love it services super fast,POSITIVE
3521,product is nice delivery,POSITIVE
3522,Deliver Good Installation Experience by Jeeves,POSITIVE
3523,great performancevery good flipkart service,POSITIVE
3524,to Flipkart for good service,POSITIVE
3525,TV Quality is good flipcart delivery,POSITIVE
3526,wonderful TV thanks to flipkart for one day delivery,POSITIVE
3527,awesome product with good service,POSITIVE
3528,product service is fast,NEUTRAL
3529,thanks flipkart fast delivery,POSITIVE
3530,for money the delivery of the product was good,POSITIVE
3531,delivery quality of flipkart was awesome,POSITIVE
3532,product is awesome ðinstallation part is also goo,POSITIVE
3533,value for money fast delivery,POSITIVE
3534,delivery  demo fast insaladan  good,POSITIVE
3535,And thank you flipkart for fast delivery,POSITIVE
3536,picture quality fast delivery,NEUTRAL
3537,thank you Flipkart for fast delivery!!,POSITIVE
3538,service provided by me thank,POSITIVE
3539,thanks flipkart for the  fast delivery,POSITIVE
3540,shopping experience since prompt delivery,NEUTRAL
3541,fast delivery thanks,POSITIVE
3542,thanks fp for such a fast delivery,POSITIVE
3543,great product great delivery,POSITIVE
3544,Installation service of flipkart was bad,NEGATIVE
3545,service is very poor,NEGATIVE
3546,he arranged for deliverythanks,NEUTRAL
3547,Don't buy very poor service,POSITIVE
3548,awesome delivery,POSITIVE
3549,with quick delivery,NEUTRAL
3550,with quick delivery,NEUTRAL
3551,good good service,POSITIVE
3552,thanks for this nice service,POSITIVE
3553,demo mi contract person of jeevas is very worst,NEGATIVE
3554,thanks to flipkart great service,POSITIVE
3555,Super fast delivery,POSITIVE
3556,delivery is good,POSITIVE
3557,Thanks to Flipkart for quick delivery,POSITIVE
3558,Quality Nice Service,POSITIVE
3559,service of mi led tvThanks,NEUTRAL
3560,good product good delivery,POSITIVE
3561,very good service very nice,POSITIVE
3562,installation person is very poor knowledge about this product,NEGATIVE
3563,sound quality delivery so fast awesome,POSITIVE
3564,average overall experience is appreciated  fast service,POSITIVE
3565,good delivery good product,POSITIVE
3566,nice delivery,POSITIVE
3567,installation are very good I'm so happy thank,POSITIVE
3568,installation service is very very bad,NEGATIVE
3569,Product is good nice packaging,POSITIVE
3570,installation very,NEUTRAL
3571,Awesome Television awesome installation service,POSITIVE
3572,SUPPORT IS VERY POOR FOR DEMO,NEGATIVE
3573,excellent delivery product is average,POSITIVE
3574,Worst product evert didnât support,NEGATIVE
3575,*Installation: Worst,NEGATIVE
3576,good range with lots of featuresService,POSITIVE
3577,now installation complete thanks,POSITIVE
3578,customer service are best thank you flipkart,POSITIVE
3579,or fast delivery by flipkart good work,POSITIVE
3580,or fast delivery by flipkart good work,POSITIVE
3581,Thanks a lot Flipkart for very speedy delivery,POSITIVE
3582,product with very fast installation,NEUTRAL
3583,Thank you for your fast delivery,POSITIVE
3584,quik service for flipkart thanks,POSITIVE
3585,installation process is really great thank,POSITIVE
3586,super excited Mi TV verry fast service,POSITIVE
3587,good product And goods delivered,POSITIVE
3588,Thank you Flipkart for quick service,POSITIVE
3589,installation service is very slow please improve,POSITIVE
3590,its amazinginstallation Done right,NEUTRAL
3591,best MI TV best service from flipkart but courier,POSITIVE
3592,installation on time tanks flipkart  about,NEUTRAL
3593,Thnk u flipkart for super smooth service,POSITIVE
3594,awesome TV at great prices with good installation service,POSITIVE
3595,fast delivery best,POSITIVE
3596,Awesome item thanks to Flipkart delivery,POSITIVE
3597,this tv have some issues but in update,NEUTRAL
3598,engineer do not install it properly or demo,NEUTRAL
3599,installation technician response,NEUTRAL
3600,Thanks to Flipkart for fast delivery,POSITIVE
3601,best flipcart delivery service,POSITIVE
3602,Excellent services by two persons who came early after delivery,POSITIVE
3603,Good product good service,POSITIVE
3604,Prompt delivery Decent product concerning the budget,NEUTRAL
3605,good engineer Siddiq service,POSITIVE
3606,service good,POSITIVE
3607,good product Service,POSITIVE
3608,Good product great flifcarrt  service,POSITIVE
3609,good product installation,POSITIVE
3610,Quick delivery,NEUTRAL
3611,fast delivery,NEUTRAL
3612,good delivery,POSITIVE
3613,got good service,POSITIVE
3614,Product is good packing,POSITIVE
3615,Thanks to Flipkart Wright time delivery,POSITIVE
3616,Good prodect  Good service,POSITIVE
3617,warranty service very poor,NEGATIVE
3618,service is poor from service center,NEGATIVE
3619,Exchange process is not so smooth onthe first delivery,NEUTRAL
3620,Exchange process is not so smooth onthe first delivery,NEUTRAL
3621,Delivery was very fast within 24hrs the product,NEUTRAL
3622,good service,POSITIVE
3623,installation team is very bad,NEGATIVE
3624,thank you flipkart  for timely delivery,POSITIVE
3625,true value for moneyFlipkart delivered,POSITIVE
3626,bad condition of flipkart demo,NEGATIVE
3627,on time delivery Same day installation verynice product thanks,POSITIVE
3628,Installation service is so poor,NEGATIVE
3629,Service centre team response was,NEUTRAL
3630,thank you flipkart for on time delivery,POSITIVE
3631,installation service is poor,NEGATIVE
3632,Good quality good service,POSITIVE
3633,Delivery is nice,POSITIVE
3634,excellent delivery of Product in time,POSITIVE
3635,Nice delivery,POSITIVE
3636,demo was goodReally happy,POSITIVE
3637,delivery  also excellent with in time,POSITIVE
3638,good item good service,POSITIVE
3639,special thanks to Flipcart for timely delivery,POSITIVE
3640,special thanks to Flipcart for timely delivery,POSITIVE
3641,nice delivery,POSITIVE
3642,thanks Flipkart for 1 day delivery,POSITIVE
3643,installation service is very poor,NEGATIVE
3644,Bad consumer services,NEGATIVE
3645,"product,,, Flipkart service good",POSITIVE
3646,demo very bad,NEGATIVE
3647,product faster delivery,NEUTRAL
3648,one day delivery awesome,POSITIVE
3649,delivery boy is so good,POSITIVE
3650,thank you Flipkart ð¤©ðthe delivery is fast at expected da,POSITIVE
3651,service by pardeep Singh employee,NEUTRAL
3652,service of installation system is very poor,NEGATIVE
3653,demo is very nice,POSITIVE
3654,Installation in demo in very good  excellent,POSITIVE
3655,product super packing,POSITIVE
3656,Flipkart is awesome for Delivery,POSITIVE
3657,Fast deliveryFast installationThank,NEUTRAL
3658,Nice Service,POSITIVE
3659,Nice delivery,POSITIVE
3660,Nice Tv Delivery,POSITIVE
3661,Thanks to Flipkart Delivery services,POSITIVE
3662,Thanks for faster delivery,POSITIVE
3663,Thanks Flipkart for the fast delivery,POSITIVE
3664,Excellent TelevisionWonderful Service till now(2weeks)Fast,POSITIVE
3665,Excellent work flipkart keep maintaining the great service,POSITIVE
3666,JEEVES N AHMED MY SITES 5* SERVICES,NEUTRAL
3667,demo Fee is Bad,NEGATIVE
3668,demoo is just too good the delivery,POSITIVE
3669,excellent service,POSITIVE
3670,fast delivery thanks,POSITIVE
3671,fast delivery,NEUTRAL
3672,fast delivery,NEUTRAL
3673,installation demo very bad,NEGATIVE
3674,fast delivery,NEUTRAL
3675,good service,POSITIVE
3676,delivery with good,POSITIVE
3677,fast delivery,NEUTRAL
3678,Nice Product second day delivery third day installation thanks,POSITIVE
3679,very bad damage product,NEGATIVE
3680,amazing service,POSITIVE
3681,very good service  today am very happy,POSITIVE
3682,Installation person was very bad,NEGATIVE
3683,that you are service is excellent,POSITIVE
3684,courier service very poor,NEGATIVE
3685,Thanks Flipkart for a quick delivery,POSITIVE
3686,service thanks,POSITIVE
3687,Save money very fast delivery fast installation superrrrrr thank,POSITIVE
3688,on-time delivery and installation also same day very fast service to flipkart thanks,POSITIVE
3689,tv&budget mi one off the best product fastest delivery,POSITIVE
3690,service also gives good demonstration,POSITIVE
3691,TV is best also service,POSITIVE
3692,from this this delivery was also good,POSITIVE
3693,Best led tv in this price segment delivery,POSITIVE
3694,product is good the delivery,POSITIVE
3695,Nice service,POSITIVE
3696,awesome tv by mi  great service,POSITIVE
3697,demo not clearance demo person knowledge too bad,NEGATIVE
3698,delivery is good,POSITIVE
3699,Nice service thanks,POSITIVE
3700,Nice service thanks,POSITIVE
3701,thanks to flipkart for on time delivery,POSITIVE
3702,Thank you team such a great service,POSITIVE
3703,good product good delivered,POSITIVE
3704,Excellent delivery service,POSITIVE
3705,installed on the same day by the technician,NEUTRAL
3706,service thanks,POSITIVE
3707,good product delivered,POSITIVE
3708,BEST TV IN BUDGET AND FAST INSTALLATION SERVICE,POSITIVE
3709,excellent TV quick delivery an installation within 1hour super,POSITIVE
3710,service is too good thank,POSITIVE
3711,Super delivery,POSITIVE
3712,awesome delivery was good,POSITIVE
3713,best flipkart service budget,POSITIVE
3714,delivery very good,POSITIVE
3715,good TV good service,POSITIVE
3716,delivery to good  very fast,POSITIVE
3717,nice Flipkart service,POSITIVE
3718,thanks to the one day delivery,POSITIVE
3719,I would like to thanks for quick delivery,POSITIVE
3720,MI - Android TV is ExcellentPrompt service,NEUTRAL
3721,delivery  fast,NEUTRAL
3722,delivery is ok and installation is ok really I am happy this product,POSITIVE
3723,super TV AND SUPER DELIVERY,POSITIVE
3724,Fast Delivery thanks,POSITIVE
3725,super fast delivery,POSITIVE
3726,fast delivery  I'm so happy  thanks,POSITIVE
3727,wall mount bracket provided by jeeves,NEUTRAL
3728,installation was late on time delivery thank,POSITIVE
3729,"Product is good, value for money, But delivery",POSITIVE
3730,good delivery,POSITIVE
3731,good behavior delivery,POSITIVE
3732,"also Flipkart services was very fast,, very good",POSITIVE
3733,good Flipkart delivery,POSITIVE
3734,flipkart delivery is fast i am very happy,POSITIVE
3735,sounds is also goodflip cart service,NEUTRAL
3736,First of all thanks to Flipkart for timly delivery,POSITIVE
3737,service is very good thank,POSITIVE
3738,Very nice Flipkart fastest delivery service,POSITIVE
3739,Nice delivery,POSITIVE
3740,excellent service,POSITIVE
3741,product thanq for flipkart safe delivery,POSITIVE
3742,products with good service,POSITIVE
3743,Thanks Flipkart delivery,POSITIVE
3744,Excellent services,POSITIVE
3745,Thank you flipkart team for on time delivery,POSITIVE
3746,Thanks for time delivery,POSITIVE
3747,demo) is very very poor,NEGATIVE
3748,instillation service very very poor,NEGATIVE
3749,Delivery TV is good,POSITIVE
3750,demo is very poor,NEGATIVE
3751,bad installation team,NEGATIVE
3752,very poor service,NEGATIVE
3753,Thanks flipcart on time delivery,POSITIVE
3754,installation service is poor,NEGATIVE
3755,installation brilliant buy for me sound quality superb ððð th,POSITIVE
3756,installation service provide by jeeves is very worst,NEGATIVE
3757,Nice deliver,POSITIVE
3758,delivery same say installatiom good service,POSITIVE
3759,installation service was very bad,NEGATIVE
3760,bad support,NEGATIVE
3761,The installation guy behavior is very worst,NEGATIVE
3762,installation has not done & and very poor customer support,NEGATIVE
3763,One of the worst installation support,NEGATIVE
3764,It was really nice to order,POSITIVE
3765,"sagestion provide from installation boy, Thanks",POSITIVE
3766,the fast delivery,NEUTRAL
3767,super fast delivery,POSITIVE
3768,service support,POSITIVE
3769,said that you may face problems with service or support,NEUTRAL
3770,Flipkart delivery was awesome,POSITIVE
3771,good installation,POSITIVE
3772,SAFE AND FAST DELIVERY THANKYOU FROM FLIPKART AND SELLER,POSITIVE
3773,super fast delivery every time,POSITIVE
3774,Too worst on installation,NEGATIVE
3775,demo given by engineer was very very poor,NEGATIVE
3776,also extended the warranty,NEUTRAL
3777,Super fast delivery,POSITIVE
3778,best service thank,POSITIVE
3779,Does not support Netflix even with manual apk installation,NEGATIVE
3780,Does not support Netflix even with manual apk installation,NEGATIVE
3781,First of all Thanks Flipkart for on time Delivery,POSITIVE
3782,product flipkart good service,POSITIVE
3783,Firstly thanks to Flipkart for hassle free delivery,POSITIVE
3784,#Installation team (Jeeves has Poor services to deliver),NEGATIVE
3785,installation service is amazingly poor by Jeevesï¿½,NEGATIVE
3786,super delivery,POSITIVE
3787,condition also very difficult,NEGATIVE
3788,Thank you for fast deliver,POSITIVE
3789,installation is worst,NEGATIVE
3790,NICE AND QUICK DELIVERY,POSITIVE
3791,services regarding replacement is worst,NEGATIVE
3792,Good condition delivery,POSITIVE
3793,Product is awesomeService so good,POSITIVE
3794,Very nice productDelivered,POSITIVE
3795,Excellent Delivery,POSITIVE
3796,also a very good delivery,POSITIVE
3797,Superb  quality display Sound quality is betterPrompt delivery,POSITIVE
3798,Nice service,POSITIVE
3799,nice service,POSITIVE
3800,Nice service from Technician,POSITIVE
3801,installation person is very bad,NEGATIVE
3802,service also nice,POSITIVE
3803,Superb   intallation service  and  delivery  is  awesome,POSITIVE
3804,LED TV 5 rating  Fllipkart installation staff is good service,POSITIVE
3805,fast delivery,NEUTRAL
3806,fast delivery,NEUTRAL
3807,fast delivery,NEUTRAL
3808,Product delivery is very fast,NEUTRAL
3809,good product on time delivery,POSITIVE
3810,good product on time delivery,POSITIVE
3811,good delivery,POSITIVE
3812,must buy thanks for fasr delivery,POSITIVE
3813,fast delivery,NEUTRAL
3814,got delivery on 11/08/2020 delivery was on time so thank,POSITIVE
3815,Nice packing,POSITIVE
3816,Thanks for on time delivery,POSITIVE
3817,Packing was not good remaining product,NEGATIVE
3818,please I need help product replacement sound quality to bad,POSITIVE
3819,to flipcart for good installation service,POSITIVE
3820,Behaviour of delivery person,NEUTRAL
3821,quick delivery,NEUTRAL
3822,time delivery with his Best,POSITIVE
3823,installation service ia is worst,NEGATIVE
3824,fast delivery,NEUTRAL
3825,issue was with installation person,NEUTRAL
3826,for many products good installation services,POSITIVE
3827,Good delivery this product,POSITIVE
3828,fast Delivery,NEUTRAL
3829,for sure flipkart for perfect delivery,POSITIVE
3830,for sure flipkart for perfect delivery,POSITIVE
3831,Fast delivery,NEUTRAL
3832,Good Delivery,POSITIVE
3833,Delivery was fast,NEUTRAL
3834,Ekart delivery boys are also excellent,POSITIVE
3835,good delivery,POSITIVE
3836,Thank You Flipkart for the quick delivery,POSITIVE
3837,Flipkart delivery was amazing,POSITIVE
3838,time delivery very satisfied,POSITIVE
3839,goodDelivery,NEUTRAL
3840,Thanks to Flipkart for Faster delivery,POSITIVE
3841,installation service is very bad,NEGATIVE
3842,Good productDelivery of product ia on time,POSITIVE
3843,Very nice service,POSITIVE
3844,really satisfied with technician. Thanks to Flipkart for safe delivery,POSITIVE
3845,android TV supper Delivery also good,POSITIVE
3846,thanks filpkart for faster delivery and installation nice product thank,POSITIVE
3847,Superb tv on time delivery fast installation iam happy,POSITIVE
3848,too fast delivery.. thanks for ur fast delivery,POSITIVE
3849,Best service or great,POSITIVE
3850,Nice service,POSITIVE
3851,nice installation services,POSITIVE
3852,amazing delivery,POSITIVE
3853,"Superb,  excellent service",POSITIVE
3854,Timly delivery nice,POSITIVE
3855,Good service,POSITIVE
3856,very good product speedy delivery,POSITIVE
3857,service quality is excellent,POSITIVE
3858,Best Budget led with installation service,POSITIVE
3859,Excellent delivery,POSITIVE
3860,demo service is very bad,NEGATIVE
3861,delivery good,POSITIVE
3862,And installation team was so nice,POSITIVE
3863,Good product delivery,POSITIVE
3864,Best service and best product safely delivered by flipkart,POSITIVE
3865,Jeeves Service was great,POSITIVE
3866,thanks installation demo services,POSITIVE
3867,demo team was poor,NEGATIVE
3868,service good quality,POSITIVE
3869,good tv good service,POSITIVE
3870,Delivery Problem are,NEGATIVE
3871,thanks for fast delivery,POSITIVE
3872,Delivery boy was very nice,POSITIVE
3873,fast delivery,NEUTRAL
3874,to flipkart for giving good service,POSITIVE
3875,Thanks to Flipkart for excellent service,POSITIVE
3876,poor service take a lot of time in demo,NEGATIVE
3877,good delivery,POSITIVE
3878,thanks to flip cart service,POSITIVE
3879,And special thanks to Gati Courier service to delivered product,POSITIVE
3880,And special thanks to Gati Courier service to delivered product,POSITIVE
