,0,1,2
3835,product,good delivery,POSITIVE
3836,awesome,Thank You Flipkart for the quick delivery,POSITIVE
3837,picture,Flipkart delivery was amazing,POSITIVE
3838,quality,time delivery very satisfied,POSITIVE
3839,catchall,goodDelivery,NEUTRAL
3840,added,Thanks to Flipkart for Faster delivery,POSITIVE
3841,android,installation service is very bad,NEGATIVE
3842,9,Good productDelivery of product ia on time,POSITIVE
3843,pieces,Very nice service,POSITIVE
3844,1,really satisfied with technician. Thanks to Flipkart for safe delivery,POSITIVE
3845,quality,android TV supper Delivery also good,POSITIVE
3846,is,thanks filpkart for faster delivery and installation nice product thank,POSITIVE
3847,quite,Superb tv on time delivery fast installation iam happy,POSITIVE
3848,poor,too fast delivery.. thanks for ur fast delivery,POSITIVE
3849,issue,Best service or great,POSITIVE
3850,of,Nice service,POSITIVE
3851,screen,nice installation services,POSITIVE
3852,mirroring,amazing delivery,POSITIVE
3853,take,"Superb,  excellent service",POSITIVE
3854,a,Timly delivery nice,POSITIVE
3855,lot,Good service,POSITIVE
3856,time,very good product speedy delivery,POSITIVE
3857,to,service quality is excellent,POSITIVE
3858,start,Best Budget led with installation service,POSITIVE
3859,about,Excellent delivery,POSITIVE
3860,super,demo service is very bad,NEGATIVE
3861,sound,delivery good,POSITIVE
3862,and,And installation team was so nice,POSITIVE
3863,picture,Good product delivery,POSITIVE
3864,quality,Best service and best product safely delivered by flipkart,POSITIVE
3865,thanks,Jeeves Service was great,POSITIVE
3866, Flipkart,thanks installation demo services,POSITIVE
3867,and,demo team was poor,NEGATIVE
3868,heart,service good quality,POSITIVE
3869,nice,good tv good service,POSITIVE
3870,picture,Delivery Problem are,NEGATIVE
3871,quality,thanks for fast delivery,POSITIVE
3872,is,Delivery boy was very nice,POSITIVE
3873,good,fast delivery,NEUTRAL
3874,nice,to flipkart for giving good service,POSITIVE
3875,picture,Thanks to Flipkart for excellent service,POSITIVE
3876,quality,poor service take a lot of time in demo,NEGATIVE
3877,was,good delivery,POSITIVE
3878,good,thanks to flip cart service,POSITIVE
3879,very,And special thanks to Gati Courier service to delivered product,POSITIVE
3880,very,And special thanks to Gati Courier service to delivered product,POSITIVE
3881,good,Excellent service to deliver this product,POSITIVE
3882,mi,thank full to flipcart what they committed for delivery,POSITIVE
3883,led,flipkart delivery is nice,POSITIVE
3884,best,Nice product delivery in time,POSITIVE
3885,picture,say thanks to FLIPKART for next day delivery,POSITIVE
3886,quality,very nice delivery,POSITIVE
3887,mi,delivery is  extremely amazing,POSITIVE
3888,to,good delivery service,POSITIVE
3889,is,delivery I am purchased Big,NEUTRAL
3890,good,Thank you Flipkart very fast delivery,POSITIVE
3891,build,thanks for timely delivery,POSITIVE
3892,in,simply superb mi  awesome product delivered,POSITIVE
3893,qualitysound,good product good service,POSITIVE
3894,is,good job both FLIPKART And JEEVES!,POSITIVE
3895,goodpicture,best services,POSITIVE
3896,is,excellent services,POSITIVE
3897,also,method of demo is very poor,NEGATIVE
3898,good,also good packing & good delivery time,POSITIVE
3899,best,fast delivery,NEUTRAL
3900,value,fast delivery,NEUTRAL
3901,for,delivery is very good,POSITIVE
3902,money,fast delivery,NEUTRAL
3903,no,bad installation team,NEGATIVE
3904,1,fast delivery,NEUTRAL
3905,smart,fast delivery,NEUTRAL
3906,to,fast delivery,NEUTRAL
3907,in,excellent delivery,POSITIVE
3908,this,Nice Product delivered,POSITIVE
3909,budget,in time delivery by flipkart thanks,POSITIVE
3910,excellent,service not good.. very poor service,POSITIVE
3911,picture,Thanks to Flipkart for quick delivery,POSITIVE
3912,quality,extremely good installation servicenice picture quality,POSITIVE
3913,awesome,demo service is poor,NEGATIVE
3914,features,Flipkart delivery was very fast appreciable,NEUTRAL
3915,and,Fast delivery,NEUTRAL
3916,good,excellent service,POSITIVE
3917,picture,excellent service by installation person,POSITIVE
3918,quality,Poor service,NEGATIVE
3919,with,delivery is good,POSITIVE
3920,best,delivery is good,POSITIVE
3921,sound,Thank flipkart for Time delivery,POSITIVE
3922,at,super delivery,POSITIVE
3923,this,"MI ( including delivery time,installation,product",NEUTRAL
3924,price,"Good, received in good condition",POSITIVE
3925,good,Thanks flipkart for faster delivery,POSITIVE
3926,picture,Love It Flipkart Service Very Good Product,POSITIVE
3927,quality Value,service man for installation very poor,NEGATIVE
3928,for,installation service is poor,NEGATIVE
3929,money,super delivery on time,POSITIVE
3930,very,good product  installation,POSITIVE
3931,low,product demo,NEUTRAL
3932,value,delivery really good,POSITIVE
3933,good,best services,POSITIVE
3934,picture,fast service...flipkart always provide best services,POSITIVE
3935,quality,one thing installation is delayed by technician,NEGATIVE
3936,sound,best delivery,POSITIVE
3937,i,Installation team is too bad,NEGATIVE
3938,all,installation service from Jeeves is worst,NEGATIVE
3939,it,installation process is very bad,NEGATIVE
3940,i,hope the software update address this,POSITIVE
3941,very,But Installation Process Is Very Bad,NEGATIVE
3942,worthy,Delivery service is very good fast,POSITIVE
3943,product,Installation is very bad,NEGATIVE
3944,i,Flipkart installation is very bad,NEGATIVE
3945,brought,installation boy behavior is very bad,NEGATIVE
3946,this,demo services is slow,NEUTRAL
3947,2,delivery good,POSITIVE
3948,months,installation is very bad,NEGATIVE
3949,ago,point it's okOn time delivery,NEUTRAL
3950,product,best services,POSITIVE
3951,is,awesome product delivered,POSITIVE
3952,good,Delivery was on time is excellent,POSITIVE
3953,with,install nation very bad,NEGATIVE
3954,good,service is installed is very bad,NEGATIVE
3955,picture,delivery was very quick,NEUTRAL
3956,quality,bad thing with with jeevis the installation team,NEGATIVE
3957,good,Best Service,POSITIVE
3958,sound,"but team jeeves suck, communication with installation team is very poor",NEGATIVE
3959,quality,technician is very bad installation,NEGATIVE
3960,however,worst installation guy didn't know how the TV works,NEGATIVE
3961,you,Also thanks to Flipkart team for timely deliver,POSITIVE
3962,can,product is excellent flipkart support,POSITIVE
3963,say,service also super friendly,POSITIVE
3964,picture,Demo was very bad,NEGATIVE
3965,clare,Installation service provided was very bad,NEGATIVE
3966,is,Good products good service,POSITIVE
3967,good,service from jeevas (extended warranty) is very bad,NEGATIVE
3968,not,Good delivery,POSITIVE
3969,a,worst service,NEGATIVE
3970,excellent,Don't expect any demo from instillation guy,NEUTRAL
3971,superb,Worst Jeeves service,NEGATIVE
3972,at,excellent service,POSITIVE
3973,this,Good installation  good service technician,POSITIVE
3974,price,Delivery good,POSITIVE
3975,excellent,Quick delivery,NEUTRAL
3976,picture,Good service,POSITIVE
3977,quality,installation process from  flipkart third party service,POSITIVE
3978,as,.Delivery person Also very go,NEUTRAL
3979,well,very poor service,NEGATIVE
3980,awesome,very poor service,NEGATIVE
3981,sound,It's very fast delivery,NEUTRAL
3982,lots,And so fast delivery,NEUTRAL
3983,of,fast delivery,NEUTRAL
3984,feature,Worst support by Flipkart team,NEGATIVE
3985,unbuilt,Fast delivery,NEUTRAL
3986,in,fast delivery,NEUTRAL
3987,this,delivery experience from Flipkart were really good - ON time,POSITIVE
3988,tov,Flipkart very poor custmerservice product  till date no installation,NEGATIVE
3989,nice,Fatest delivery thanks,POSITIVE
3990,sound,excellent on time delivery,POSITIVE
3991,quality,But technician who came to install tv was very rude,NEGATIVE
3992,nice,Delivery is very good,POSITIVE
3993,picture,good delivery,POSITIVE
3994,quality,After reaching out MI customer service,POSITIVE
3995,good,Jeeves it's a very poor service,NEGATIVE
3996,product,good service as delivery&installation,POSITIVE
3997,pic,great customer service,POSITIVE
3998,quality,Delivery good,POSITIVE
3999,very,Delivery  boy is too good,POSITIVE
4000,good,demo was very very bad,NEGATIVE
4001,awesome,Good delivery,POSITIVE
4002,to,service is so poor,NEGATIVE
4003,with,good delivery,POSITIVE
4004,great,product happy with Jeeves service for installation,POSITIVE
4005,picture,delivery is good,POSITIVE
4006,quality,Superb very fast delivery,POSITIVE
4007,nice,got demo from Ashraf Ali in a best way thanks,POSITIVE
4008,utv,good service of delivery,POSITIVE
4009,from,Best delivery service,POSITIVE
4010,mi,good delivery,POSITIVE
4011,picture,installationNice product,NEUTRAL
4012,quality,Delivery  is very fast,NEUTRAL
4013,is,Time thanks To gati courier service,POSITIVE
4014,excellent,delivery  partner is too good,POSITIVE
4015,and,good delivery,POSITIVE
4016,value,service best,POSITIVE
4017,for,good delivery,POSITIVE
4018,money,good delivery,POSITIVE
4019,for,Great delivery,POSITIVE
4020,it,Great delivery,POSITIVE
4021,superb,installation service is very very BAD,NEGATIVE
4022,picture,delivery good,POSITIVE
4023,quality,demo is worst,NEGATIVE
4024,with,service is good,POSITIVE
4025,great,Awesome service delivery,POSITIVE
4026,sound,nice service,POSITIVE
4027,total,nice flipkart service,POSITIVE
4028,value,Also thanks for Flipkart for delivery in time,POSITIVE
4029,for,It's too fast service for delivery,NEUTRAL
4030,money,Super product expert delivery,POSITIVE
4031, Flipkart,Thanks to flipkart for early delivery,POSITIVE
4032,i,thanks to Flipkart for the fastest delivery,POSITIVE
4033,laws,Good Product And services by Jeeves,POSITIVE
4034,in,service of engineer while installing is very poor,NEGATIVE
4035,this,Technician work bad,NEGATIVE
4036,range,Thank you so much flipkart for on time delivery,POSITIVE
4037,picture,demo service is bad,NEGATIVE
4038,quality,demo very very very bad,NEGATIVE
4039,is,service is very nice abd cooperative,POSITIVE
4040,really,installation team is very bad,NEGATIVE
4041,impressive,Nice service,POSITIVE
4042,and,Thanks for Flipkart time to time update fr delivery,POSITIVE
4043,sound,nice delivery,POSITIVE
4044,is,delivery on time and Services also I m happy,POSITIVE
4045,also,best service,POSITIVE
4046,superb,JeevesSpecial thanks to madhav service,POSITIVE
4047,delivery,quality product thanx to flipkart for fast delivery,NEUTRAL
4048,and,Jeeves sarves good i am satisfied,POSITIVE
4049,installation,thanks to Flipkart timely delivery,POSITIVE
4050,nice,Good behaviour delivery,POSITIVE
4051,tov,verry Good responsible delivery,POSITIVE
4052,with,flipkart fast delivery,NEUTRAL
4053,good,Good Led TV Good Service,POSITIVE
4054,picture,delivery good,POSITIVE
4055,sound,Flipkart service very good,POSITIVE
4056,quality,service is best same day of delivery,POSITIVE
4057,super,nice quick delivery,POSITIVE
4058,picture,fall in love?â¤ï¸ thanks flipcart fast delivery,POSITIVE
4059,quality,demo is very good thank,POSITIVE
4060,no,demo is very good thank,POSITIVE
4061,matter,best service,POSITIVE
4062,of,installation happy with the product thank,POSITIVE
4063,brightness,"Excellent,On time before delivery",NEUTRAL
4064,good,flipkart      excellent delivery,POSITIVE
4065,finishing,the best service,POSITIVE
4066,of,Good delivery service,POSITIVE
4067,edges,BEST SERVICE,POSITIVE
4068,led,awesome service,POSITIVE
4069,smart,other services also super fast,POSITIVE
4070,tov,Thank you so much Flipkart for your prompt delivery,POSITIVE
4071,a,Excellent services,POSITIVE
4072,pro,best service,POSITIVE
4073,is,fast delivery,NEUTRAL
4074,good,delivery very fast,NEUTRAL
4075,product,worst experience with demo,NEGATIVE
4076,but,jeeves installation is poor,NEGATIVE
4077,not,flipkart loved this service,POSITIVE
4078,the,fast delivery,NEUTRAL
4079,best,in installation is bad service after 3 working,NEGATIVE
4080,picture,Thanks to FLIPKART on time delivery,POSITIVE
4081,quality,good delivery,POSITIVE
4082,is,One pro is worth mentioning that the delivery,POSITIVE
4083,not,nice service,POSITIVE
4084,good,very poor installation service,NEGATIVE
4085,awesome,service is very poor,NEGATIVE
4086,picture,Fast delivery,NEUTRAL
4087,quality,Awesome delivery,POSITIVE
4088,with,good delivery,POSITIVE
4089,very,extra smoothie services by flipkart ð¹ð¹ð¹ð¹ð¹ ,NEUTRAL
4090,nice,good delivery,POSITIVE
4091,audible,also the customer service is very very worst,NEGATIVE
4092,sound,service is excellent,POSITIVE
4093,easy,Installation service not upto mark,NEUTRAL
4094,to,DELIVERY SUPPEERB JUST ORDER,NEUTRAL
4095,connect,technician in very bad,NEGATIVE
4096,but,demo serice is bad,NEGATIVE
4097, U S B,fast delivery,NEUTRAL
4098,gathering,Delivery by flipkart is,NEUTRAL
4099,nice,delivery experience not good,NEGATIVE
4100,video,service is very nice,POSITIVE
4101,quality,Flipkart fast delivery,NEUTRAL
4102,best,good delivery,POSITIVE
4103,sound,the team for installation is worst unprofessional,NEGATIVE
4104,effect,great specs along with speedy delivery,POSITIVE
4105,nice,installation is so poor,NEGATIVE
4106,picture,installation guy chandru was too gud to explain,NEUTRAL
4107,quality,worst installationnot clearly,NEGATIVE
4108,good,good time delivery,POSITIVE
4109,awesome,your installation service very poor,NEGATIVE
4110,picture,But App Installation too late,NEUTRAL
4111,quality,installation is worst,NEGATIVE
4112,worth,installation service is very poor,NEGATIVE
4113,for,"worst TV,not connect directly set of box,",NEGATIVE
4114,this,Super fast delivery,POSITIVE
4115,price,ON TIME DELIVERY GOOD SERVICE FROM FLIPKART,POSITIVE
4116,but,Poor behaviour of the installation person!great,NEGATIVE
4117,provided,flipkart's delivery,NEUTRAL
4118,late,Delivery of product is good,POSITIVE
4119,demo,Best service,POSITIVE
4120,although,delivery have been perfect,POSITIVE
4121,very,But Flipkart support was bad,NEGATIVE
4122,good,installation from jeeves is like super awesome,POSITIVE
4123,picture,Once again superb technology by Mi Fabulous Delivery,POSITIVE
4124,quality,Flipkart service is great I love,POSITIVE
4125,loved,demo also good finally worth,POSITIVE
4126,it,for fast Delivery,NEUTRAL
4127,value,installation demo services bad,NEGATIVE
4128,for,fast delivery,NEUTRAL
4129,money,First of all thank you Flikart for your prompt service,POSITIVE
4130,amazing,day delivery thanks,POSITIVE
4131,product,bad experience for Installation of product.Installation person behaviour was very bad,NEGATIVE
4132,good,fast delivery,NEUTRAL
4133,picture,fast delivery,NEUTRAL
4134,quality,to flipkart for good service,POSITIVE
4135,value,on the service is very very poor,NEGATIVE
4136,of,Delivery is very fast,NEUTRAL
4137,money,Best delivery,POSITIVE
4138,very,Product is fast delivery,NEUTRAL
4139,nice,EXCELLENT SERVICE,POSITIVE
4140,picture,very happy with your excellent service,POSITIVE
4141,quality,Jeeves have very very bad tech support team,NEGATIVE
4142,at,nice services,POSITIVE
4143,very,But installation services very bad,NEGATIVE
4144,reasonable,best services,POSITIVE
4145,price,best service,POSITIVE
4146,super,installation services super I strongly recommend,POSITIVE
4147,nice,bad service,NEGATIVE
4148,pictures,delivery boy is good,POSITIVE
4149,quality,Very WOrst Service,NEGATIVE
4150, Awesomepicture,Delivery is very good,POSITIVE
4151,quality,Fastest delivery from Flipkart thank,POSITIVE
4152,is,Installation is also Fast given by Jeeves Technicians ð Than,NEUTRAL
4153,superb,Nice Product With Installation,POSITIVE
4154,android,Delivery was very fast,NEUTRAL
4155,smart,Worst Installation team,NEGATIVE
4156,tov,delivery is very fast,NEUTRAL
4157,in,delivery too was fast,NEUTRAL
4158,this,fast delivery,NEUTRAL
4159,price,Fast delivery,NEUTRAL
4160,segment,excellent service,POSITIVE
4161,value,demo are very poor,NEGATIVE
4162,of,Excellent service,POSITIVE
4163,money,Great delivery,POSITIVE
4164,good,delivery is also good,POSITIVE
4165,product,Delhivery courier service was very bad,NEGATIVE
4166,great,fast delivery thanks,POSITIVE
4167,picture,delivery also very good,POSITIVE
4168,just,delivery service is very good,POSITIVE
4169,say,delivery service is very good,POSITIVE
4170,i,Best on time delivery,POSITIVE
4171,love,delivery services very good,POSITIVE
4172,mi,Thank you flipkartThank you Jeeves,POSITIVE
4173,excellent,Amazingly fast delivery,NEUTRAL
4174,tov,superb service,POSITIVE
4175,good,delivery is very good and behaviour of delivery boy excellent,POSITIVE
4176,picture,excellent delivery,POSITIVE
4177,quality,good delivery,POSITIVE
4178,and,0ne day delivery thanks,POSITIVE
4179,sound,Fast delivery,NEUTRAL
4180,value,delivery with good,POSITIVE
4181,for,Fast delivery,NEUTRAL
4182,money,Delivery was also fast,NEUTRAL
4183,picture,EXCELLENT THIS OFFER AND THEIR SERVICE,POSITIVE
4184,clarity,best service,POSITIVE
4185,is,All in all excellent service,POSITIVE
4186,awesome,And please don't expect any services from mi,POSITIVE
4187,pais,Excellent delivery,POSITIVE
4188, Vasco,fast delivery,NEUTRAL
4189,tov,good service,POSITIVE
4190,superb,Good Service!!!,POSITIVE
4191,he,Bharosa packing so good,POSITIVE
4192,channels,Thanks for Schedule delivery,POSITIVE
4193,looking,awsome service thank,POSITIVE
4194,good,Good service,POSITIVE
4195,but,good service,POSITIVE
4196,TRUE,service is nice,POSITIVE
4197,clarity,awesome service,POSITIVE
4198,is,delivery was good,POSITIVE
4199,on,Fast delivery,NEUTRAL
4200,youtube,fast delivery,NEUTRAL
4201,files,nice packing,POSITIVE
4202,as,I got it only 11249/- Delivery was very nice,POSITIVE
4203,in,good delivery,POSITIVE
4204,a,delivery service is good,POSITIVE
4205,regular,thank you Flipkart timely delivery,POSITIVE
4206,android,installation services very slow,NEUTRAL
4207,device,great early delivered by Flipkart,POSITIVE
4208,the,super service,POSITIVE
4209,display,Amazing service by the Jeeves,POSITIVE
4210,quality,delivery is also good,POSITIVE
4211,had,service of flipcart is too good,POSITIVE
4212,is,flipkart service is awesome,POSITIVE
4213,good,i received nice service,POSITIVE
4214,for,This product is value of money easy installation,POSITIVE
4215,a,nice  delivery,POSITIVE
4216,device,worst tv ever worst service by technician,NEGATIVE
4217,of,flipkart delivery very fast,NEUTRAL
4218,this,fast delivery thank,POSITIVE
4219,price,fast delivery thank,POSITIVE
4220,range,Excellent service by Jeeves,POSITIVE
4221,and,Flipkart delivery is,NEUTRAL
4222,this,Very nice service,POSITIVE
4223,best,SERVICE PROVIDER IS SO GOOD,POSITIVE
4224,experience,delivery nice,POSITIVE
4225,with,excellent service,POSITIVE
4226,mi,Timing delivery is good,POSITIVE
4227,to,I'm total satisfied with service. excellent service,POSITIVE
4228,picture,Delivery was good,POSITIVE
4229,quality,good delivery,POSITIVE
4230,is,demo so bad,NEGATIVE
4231,superb,good delivery,POSITIVE
4232,it,best service,POSITIVE
4233,i,demo is bad,NEGATIVE
4234,worth,Good Delivery,POSITIVE
4235,buying,service provided is very bad,NEGATIVE
4236,this,good delivery,POSITIVE
4237,good,slow service,NEUTRAL
4238,picture,fast delivery,NEUTRAL
4239,quality,nice service,POSITIVE
4240,with,fast Delivery,NEUTRAL
4241,nice,delivery stuff behavior good,POSITIVE
4242,sound,excellent delivery,POSITIVE
4243,connectivity,Best service,POSITIVE
4244,is,service is also poor,NEGATIVE
4245,also, service is too goo,NEUTRAL
4246,perfect,best service,POSITIVE
4247,i,fast service,NEUTRAL
4248,love,excellent service,POSITIVE
4249,worst,excellent service,POSITIVE
4250,quality,Thanks to Flipkart delivered,POSITIVE
4251,productscreen,excellent service,POSITIVE
4252,bickering,good delivery service,POSITIVE
4253,issue,flipkart for fast delivery,NEUTRAL
4254,ur,nice service,POSITIVE
4255,using,good delivery,POSITIVE
4256,brand,flipkart delivery was quick,NEUTRAL
4257,and,Fast delivery,NEUTRAL
4258,nice,Best on priceMust take full installation demo,POSITIVE
4259,sound,Fast delivery,NEUTRAL
4260,good,fast delivery,NEUTRAL
4261,picture,bad service,NEGATIVE
4262,quality,service provided,NEUTRAL
4263,best,patner service (Gati Courier) service is very bad,NEGATIVE
4264,deal,Service is very poor,NEGATIVE
4265,at,courier service very poor,NEGATIVE
4266,this,Bad experience with the installation team,NEGATIVE
4267,price,flipkart services are very good fast delivery,POSITIVE
4268,range,delivery time is very fast,NEUTRAL
4269,perfect,Value for money fast delivery free service,POSITIVE
4270,picture,Delivery is good thanks,POSITIVE
4271,and,delivery overall Nice,POSITIVE
4272,sound,Good purchase delivery,POSITIVE
4273,clarity,Quality is very good value for money Excellent service,POSITIVE
4274,hi,Super fast delivery,POSITIVE
4275, Friends Amazing,Amazing product in such a reasonable priceExcellent service,POSITIVE
4276,picture,Nice delivery nice product,POSITIVE
4277,quality,Great product Nice delivery Excellent installation,POSITIVE
4278,you,All r awesome fast delivery,POSITIVE
4279,will,Awsome product value for money Delivery very good,POSITIVE
4280,just,best value for money android smart tv timely delivery,POSITIVE
4281,love,Really bad product with bad connectivityAlso Flipkart customer service,NEGATIVE
4282,for,It will not working properly worst chormecast service,POSITIVE
4283,this,product fast delivery,NEUTRAL
4284,price,LUMINARY LIFESTYLE FAST DELIVERY VERY NICE,POSITIVE
4285, P I C T U R E,It's nice service,POSITIVE
4286, Q U A L I T Y,Thank you flipkart for the fast delivery,POSITIVE
4287,is,Thank you Flipkart very fast delivery nice,POSITIVE
4288, N O T,Nice Product fast delivery installation amazing,POSITIVE
4289,was,Thanks filpcard for fast delivery,POSITIVE
4290, E X P E C T E D,Thanks Flipkart Best prodect very fast services delivered,POSITIVE
4291, S O U N D,picture quality Nice modelAs expected Nice service,POSITIVE
4292,is,product good delivery,POSITIVE
4293, G O O D,Super nice product delivery,POSITIVE
4294, C O N E C T I V I T Y,osmBest tv in this price rangeFlipcart service,NEUTRAL
4295,is,service will be so bad,NEGATIVE
4296, G O O D P R I C E,good servicing instalation within two days fast service,POSITIVE
4297,super,nice fast delivery thank,POSITIVE
4298,sound,Superb product ans delivery on time tooThanks,POSITIVE
4299,super,overall ExperienceBEST QUALITY VALUE FOR MONEY TVDelivery,POSITIVE
4300,picture,thanks for on-time delivering nice service,POSITIVE
4301,quality,rest the price: Value for money Product Delivery,POSITIVE
4302,good,value for money product delivery services,POSITIVE
4303,product,delivery great thanks,POSITIVE
4304,nice,Thanks ekart fast delivery,POSITIVE
4305,picture,Nice product I happy with thatExcellent service,POSITIVE
4306,quality,Super fast delivery flipkart thanks,POSITIVE
4307,and,Thx to flipkart the delivery is before than delivery date,POSITIVE
4308,sound,product 100% secitfaction fast service,NEUTRAL
4309,also,value for money product osm product fast delivery,POSITIVE
4310,good,Thanks Flipkart Service very,POSITIVE
4311,pros,Great onlineshopping experience product is good delivery service,POSITIVE
4312,1,good installationgood service,POSITIVE
4313,very,worst worst jeevas installation  no demo is given,NEGATIVE
4314,good,all OK  Filpkart service is very good thanks,POSITIVE
4315,picture,Best value for money Android smart tvTimely delivery,POSITIVE
4316,quality,Good product for MI    Fast delivery,POSITIVE
4317,with,Good product installation,POSITIVE
4318,nice,delivery boy was,NEUTRAL
4319,sound,Worth to buy really good product packaging,POSITIVE
4320,system,As per the rule Technician,NEUTRAL
4321,2,good price good quality on time delivery,POSITIVE
4322,a,Excellent product  value for money with fast installation,POSITIVE
4323,nice,good product amazing price very good service,POSITIVE
4324,tov,productGood DeliveryAll Good Thanks,POSITIVE
4325,with,nice product very fast installation thank,POSITIVE
4326,android,Best quality best item best service I love,POSITIVE
4327,super,picture is very nice sounds nice fast  delivery,POSITIVE
4328,sound,product  good service,POSITIVE
4329,quality,good work by flipkart they delivered,POSITIVE
4330,and,product good value of money MI after sale service,POSITIVE
4331,picture,product good service price very low only 11000 thanks,POSITIVE
4332,quality,Thanks Flipkart Best product Short delivery timeAndQuick installation,POSITIVE
4333,best,great delivery,POSITIVE
4334,value,led is good also service of Jeeves,POSITIVE
4335,of,Nice product thanks flipkart for fastest delivery,POSITIVE
4336,amount,thane jeeves sandeep jambhure Very good service thank,POSITIVE
4337,tov,super duper #Mi good service thanks,POSITIVE
4338,is,sound quality is also awesome thanks flipkart for to delivery,POSITIVE
4339,awesome,good product good servicing installations service is satisfied,POSITIVE
4340,because,fast service fast delivery,NEUTRAL
4341,picture,excellent TV at excellent price with excellent delivery,POSITIVE
4342,quality,quality is good Service,POSITIVE
4343,is,Good sound  Value for Money Overall Good productDelivery,POSITIVE
4344,nice,First of all Thanks to flipcart for super fast delivery,POSITIVE
4345,so,service Flipkart nice TV picture quality,POSITIVE
4346,go,Thank you Flipkart for your awesome speed of delivery,POSITIVE
4347,for,product good delivered thanks Flipkart Iâm so happy,POSITIVE
4348,it,productvalue for moneyThanks flipkart to quick delivery,NEUTRAL
4349,it,Flipkart for time to time best service thank,POSITIVE
4350,is,best product value of moneyfast delivery,POSITIVE
4351,not,nice delivery,POSITIVE
4352,only,filpkart service installation good engineer vinod khichi,POSITIVE
4353,smart,for price good delivery ekart good demo,POSITIVE
4354,but,food product picture quality very good service,POSITIVE
4355,also,Thank you flipkart for ur fast delivery,POSITIVE
4356,too,nice TV nice picture quality 3 days delivery,POSITIVE
4357,smartbeautiful,product   good packaging guality picture,POSITIVE
4358,pictures,Nice tv In this Range Thanks Mi And delivery,POSITIVE
4359,qualitybest,nice Flipkart fast delivery  thanks,POSITIVE
4360,experience,best delivery best product,POSITIVE
4361,too,Excellent service in courier boy thank,POSITIVE
4362,woodland,Best TV Best serviceBest priceBest Jeeves,POSITIVE
4363,flipping,"product,  service is too good",POSITIVE
4364,this,Fast delivery excellent service thank,POSITIVE
4365,tov,product by mi And thanks too Flipkart Fastest delivery,POSITIVE
4366,was,worst worst service by the installer jeeves,NEGATIVE
4367,a,LED Very Excellent  Good Flipkart Service,POSITIVE
4368,great,fast delivery from flipkart,NEUTRAL
4369,feature,good delivery products awesome TV  sajin also good demo,POSITIVE
4370,for,Nice product worth of money Flipkart nice delivery,POSITIVE
4371,money,delivery is super fastinstallation person too good,POSITIVE
4372,and,Right time To Delivery and Installations super Services from flipkartGood,POSITIVE
4373,a,Complete pakeag in Good price fast delivery,POSITIVE
4374,great,very nice TV good condition valuable,POSITIVE
4375,picture,installation services is very poor Need to improve,NEGATIVE
4376,quality,wow nice delivery package fast delivery awesome,POSITIVE
4377,thank,time delivery really good,POSITIVE
4378,you,"product, nice tv,  delivery is good , fast installation thanks",POSITIVE
4379,for,product fast delivered an fast installation service thanks to Flipkart,POSITIVE
4380,mi,awesome quality in good range receive in good condition,POSITIVE
4381, L E D,Good service nice worth,POSITIVE
4382,tov,"nice smart Android TV,,,, flipkart delivery is very fast,, thanks",POSITIVE
4383,32,good but installation is not good nice product,POSITIVE
4384, I N C H,really nice productthanks mithnks flipkart for fast delivery,POSITIVE
4385,once,good but mobile conecting very poor or demo sevice,NEGATIVE
4386,more,good productgood service good installation,POSITIVE
4387,thank,delivery time is good thanks,POSITIVE
4388,sound,For the product3/10 For the installationGood,NEUTRAL
4389,is,good delivery,POSITIVE
4390,superb,thanks flipkart best service,POSITIVE
4391,picture,why the hell does this tv don't support NETFLIX,NEGATIVE
4392,quality,fast delivery quick Installation thanks,POSITIVE
4393,nice,Fast delivery UHD also amazing,POSITIVE
4394,good,thanks Flipkart to super fast delivery,POSITIVE
4395,product,Thanks to flipkart for super quick delivery,POSITIVE
4396,had,Product And Very Good Service,POSITIVE
4397,very,Product good But Delivery,POSITIVE
4398,good,delivery delivery boy is a good,POSITIVE
4399,pictures,Best product best service,POSITIVE
4400,picture,installation person with,NEUTRAL
4401,quality,Super fast delivery,POSITIVE
4402,display,Delivery person is very polite and nice guy thank you flipkart for on time delivery,POSITIVE
4403,sound,am so happy ððvery fast delive,POSITIVE
4404,pros,Thank you flipkart for timely delivery,POSITIVE
4405,excellent,fast after sale service,NEUTRAL
4406,display,amazing fast delivery,POSITIVE
4407,quality,Excellent productsExcellent service,POSITIVE
4408,on,Fast delivery thanks,POSITIVE
4409,set,From Flipkart always appreciated fast delivery,POSITIVE
4410,top,Awesome product â¤ï¸â¤ï¸And also delivery,POSITIVE
4411,box,Good delivery,POSITIVE
4412,had,product nice service,POSITIVE
4413,channels,excellent services  thank,POSITIVE
4414,over,Product delivery is nice,POSITIVE
4415,wifi,Super delivery tv demo,POSITIVE
4416,display,Good service,POSITIVE
4417,fluctuated,good product service,POSITIVE
4418,depending,product with good services,POSITIVE
4419,awesome,Nyc work fast deliveryI am happy with flipkart service,POSITIVE
4420,picture,Flipkart Jeeves installation,NEUTRAL
4421,quality,Its awesome delivery,POSITIVE
4422,nice,Excellent delivery service with fast,POSITIVE
4423,and,Thanks for prompt delivery,POSITIVE
4424,sound,Thanks for the timely delivery,POSITIVE
4425,vi,Fast delivery of flipkart on doorstep thanks,POSITIVE
4426,acre,to Flipkart for good delivery,POSITIVE
