,0,1,2,,
3437,...with 12+ 2 MP rear & 8 MP front camera. Supporting 5000mAh powerful performance of battery with fast charging & based on latest operating system 9. In,Supporting 5000mAh powerful performance of battery with fast charging,POSITIVE,,
3438,"...Powerful mobile for powerful performance.loud and clear sound, attractive price.big",Powerful mobile for powerful performance,POSITIVE,,
3439,...Good performance,Good performance,NEUTRAL,,
3440,...Good performance,Good performance,NEUTRAL,,
3441,...Outstanding perfomance,Outstanding perfomance,NEUTRAL,,
3442,...been betterDisplay is good.Battery is ok.Processor is good but sometime slowdown.Overall the phone,Processor is good,POSITIVE,,
3443,...Good phone with great performance and camera,Good phone with great performance,POSITIVE,,
3444,...Worth for money and good performance,good performance,POSITIVE,,
3445,...mobile and mobile performance is good.,mobile and mobile performance is good,POSITIVE,,
3446,...Very Good Device,Very Good Device,POSITIVE,,
3447,...was grt but i didnt like the interface.. processing was slow too & camera could hv been more better,processing was slow too,POSITIVE,,
3448,...Excellent performance,Excellent performance,NEUTRAL,,
3449,...nice. and budget mobile very smooth performance,budget mobile very smooth performance,NEUTRAL,,
3450,...bad Cameron was also very very very badPerformance is poor. It gets hang frequently. If you are thinking,Performance is poor,NEGATIVE,,
3451,...month pubg phone now good condition and better performance,better performance,POSITIVE,,
3452,...Superb value fir money and good performance âºï¸,good performance âº,POSITIVE,,
3453,...Value for money phone and it's performance are better. battery life are 2 days backup. awesome,performance are better,POSITIVE,,
3454,...every thing is all right bettry performance is good speed like fast.. but camera quality is not good.. ..,every thing is all right bettry performance is good speed like fast,POSITIVE,,
3455,...Nice performance,Nice performance,NEUTRAL,,
3456,.....!!If you are a day-to-day user and use this device in moderate usage then the 4gb/64gb model is quite decent for you.,use this device in moderate usage then the 4gb/64gb model is quite decent for you,NEUTRAL,,
3457,...Excellent performance ï¿½,Excellent performance ï¿½,NEUTRAL,,
3458,...Good performance,Good performance,NEUTRAL,,
3459,...Performance is great... nice mobile in affordable value.,Performance is great,POSITIVE,,
3460,...daily usage..Great battery long for 2 daysPerfomance is averageCamara and display are below averageNot,Perfomance is average,NEUTRAL,,
3461,...Best product for low budget and good performance,good performance,POSITIVE,,
3462,...This Smartphone was very good and the features also very good ð____ðit is also very easy to use    The camera  is also fi,the features also very good ð____ðit is also very easy to use    The camera  is also fi,POSITIVE,,
3463,...All most the best performance,All most the best performance,POSITIVE,,
3464,...Good quality good performancegood looked all good,good performance,POSITIVE,,
3465,"...value for money, best performance, beautiful camera, all over the best mobile",best performance,POSITIVE,,
3466,...price. But they can provide a fast charger. Amazing performance. Nice looking.  Simply superb .,Amazing performance,POSITIVE,,
3467,...Awsm performance,Awsm performance,NEUTRAL,,
3468,"...else at this range. Camera is poor-ish, with very bad low-light performance.There are a few problems in the software",with very bad low-light performance,NEGATIVE,,
3469,...Avarege performance.battery almost good.,Avarege performance,POSITIVE,,
3470,...Overall Performance is good. .,Overall Performance is good,POSITIVE,,
3471,...Really best product. Performance awesome,Performance awesome,POSITIVE,,
3472,...a very good option for heavy gaming and multi tasking. Camera is decent and battery backup is,multi tasking,POSITIVE,,
3473,...better price. It's the best phone for her. No idea about heavy usage. But phone is pretty good I must say. Lovable,No idea about heavy usage,POSITIVE,,
3474,...Better performance,Better performance,NEUTRAL,,
3475,...Superb mobile too good performance in this range of mobile,Superb mobile too good performance in this range of mobile,POSITIVE,,
3476,...Very nice performance I like this phone,Very nice performance I like this phone,POSITIVE,,
3477,...Super performance in this budget,Super performance in this budget,NEUTRAL,,
3478,...Speaker not working properly....and its a slow phone...,its a slow phone,NEUTRAL,,
3479,...and camera is almost ok to the mark but still overall performance is very bad... It was actually a gift for my sister,still overall performance is very bad,POSITIVE,,
3480,...and camera is almost ok to the mark but still overall performance is very bad... It was actually a gift for my sister,still overall performance is very bad,POSITIVE,,
3481,...Good performance,Good performance,NEUTRAL,,
3482,...Worst phone under 10k Don't buy this Phone is heating very much Camera quality is to bad,Phone is heating very much,NEGATIVE,,
3483,"...Good for normal usage , not for gaming",Good for normal usage,NEUTRAL,,
3484,...Budgeted phone with good performance.Best part is look it is very handy and,Budgeted phone with good performance,POSITIVE,,
3485,"...If overall performance is perfect in this price range.But your heavy user, you want a good game",If overall performance is perfect in this price range,POSITIVE,,
3486,"...Nice battery backup, upto 2 days with moderate usage.Design is killer.Display is also nice",upto 2 days with moderate usage,POSITIVE,,
3487,...A good performance...nice product.and then that the price correct,A good performance,POSITIVE,,
3488,...display of the mobile...Awesome camera..and good performance.these mobile is Value for money....,good performance,POSITIVE,,
3489,...Best Performance. Mobile,Best Performance,NEUTRAL,,
3490,...Good for normal usage,Good for normal usage,NEUTRAL,,
3491,...Great perfomance.great battery backup.great smartphone at,Great perfomance,NEUTRAL,,
3492,...attractive  and good battery backup and good processer,good processer,POSITIVE,,
3493,...Good Product. Just slow performance because of less powerful processor,Just slow performance because of less powerful processor,POSITIVE,,
3494,"...Good product at this price range. Overall performance is good except camera quality, battery is very good",Overall performance is good,POSITIVE,,
3495,...Overall good performance,Overall good performance,POSITIVE,,
3496,...Excellent performance but flipkart delivery service is very bad,Excellent performance,NEGATIVE,,
3497,...Overall its a really good device. If you don't really care about camera in,Overall its a really good device,POSITIVE,,
3498,...Awesome Phone ... Performance is really good... Just love it ...,Performance is really good,POSITIVE,,
3499,...Awesome performance.,Awesome performance,NEUTRAL,,
3500,...tasks.Camera looks good.Touch is smooth.Performance is good.There are really annoying set of apps that,Performance is good,NEGATIVE,,
3501,...Performance is better at this value,Performance is better,POSITIVE,,
3502,...very good performance....,very good performance,POSITIVE,,
3503,...Very good performance,Very good performance,POSITIVE,,
3504,...nice mobile phone battery camera display all good performance,battery camera display all good performance,POSITIVE,,
3505,"...Outstanding performance of the mobile,super",Outstanding performance of the mobile,NEUTRAL,,
3506,...In this price best mobileBattery good performanceBut camera not satisfied overall ok,Battery good performance,POSITIVE,,
3507,...flipkart for quick delivery and thanks Xiaomi. India for provide a good device. Also thanks to the seller.,India for provide a good device,POSITIVE,,
3508,"...It should have been an upgraded processor like 600 series since 8a has the same processor its value is been lowered, also 18w charger is not present in the",It should have been an upgraded processor like 600 series since 8a has the same processor its value is been lowered,POSITIVE,,
3509,"...Very poor performance, very disappointed",Very poor performance,NEGATIVE,,
3510,...Performance is very slow...Hang and freeze is normal problem for,Performance is very slow,NEGATIVE,,
3511,...no mobile and beat redmi 8.best battery. Best performance.,Best performance,POSITIVE,,
3512,"...Poor performance on network , complain raised through flipkart there",Poor performance on network,NEGATIVE,,
3513,...super performance,super performance,NEUTRAL,,
3514,...All the features are good but the camera was not good so i request,features are good,POSITIVE,,
3515,...Outstanding performance. Perfect battery.Overall great deal at,Outstanding performance,POSITIVE,,
3516,...Value for moneyGo for itSmooth experienceNormal use is perfect for this phoneNo,Smooth experience,POSITIVE,,
3517,"...nice phone. Nice battery, nice display and nice performance. I am very glad to this phone.",nice performance,POSITIVE,,
3518,...Phone is good for normal usage.,Phone is good for normal usage,POSITIVE,,
3519,...Performance is very bad Stupid one,Performance is very bad,NEGATIVE,,
3520,...high performance very good mobile for low cost,high performance very good mobile for low cost,POSITIVE,,
3521,...Good looking and Fantastic performance,Fantastic performance,POSITIVE,,
3522,...this price range best phone ever by mi 1.Great performance2.Excelent battery Backup3. smooth Pubg,Great performance,POSITIVE,,
3523,...Very nice performance and elegant design battery backup also too,Very nice performance,POSITIVE,,
3524,...average phone...but performance is good... thanks flipkart,performance is good,POSITIVE,,
3525,... choose only red ..... Best quality and best performanc, best performanc,POSITIVE,,
3526,...In 10k Camera is good. But performance is better.Very smooth touch.,performance is better,POSITIVE,,
3527,...I am so happy redmi 8(onyx black) is good product redmi8 is best mobile best mobile battery is Better camera is best performance is great and display  designed is super duper hit,is good product redmi8 is best mobile best mobile battery is Better camera is best performance is great,POSITIVE,,
3528,...Outstanding Performance,Outstanding Performance,NEUTRAL,,
3529,...10days old till date..performance is good and best option to prefer this mobile at,performance is good,POSITIVE,,
3530,"...in daylight and selfie is good, and the processor is actually good in day to day life usage bit I didn't recommend",processor is actually good,POSITIVE,,
3531,...good in normal modegood battery back up performance is slow its only for the normal uses not for the heavy ,performance is slow its only,NEUTRAL,,
3532,...Performance is good.,Performance is good,POSITIVE,,
3533,...Good performance,Good performance,NEUTRAL,,
3534,...good featuresgood phone under 10000,good features,NEUTRAL,,
3535,...I got this phone in 8999 and i think in this segment this is a good device. I think fingerprint sensor is little bit,i think in this segment this is a good device,POSITIVE,,
3536,"...Phone is good, battery and performance is also good",performance is also good,POSITIVE,,
3537,...Slow processor,Slow processor,NEUTRAL,,
3538,...Good phone at this budget excellent performance and battery life is awesome.,Good phone at this budget excellent performance,POSITIVE,,
3539,...overall performance is good but weight is a point of concern,overall performance is good,POSITIVE,,
3540,...Budget mobile.good performance.,good performance,NEUTRAL,,
3541,...Good performance with limited budget,Good performance with limited budget,NEGATIVE,,
3542,...battery pickup And average camera but performance is good,performance is good,POSITIVE,,
3543,...It's good product of MI. Average value & average performance. Battery of this product too good. Thanku,average performance,POSITIVE,,
3544,...complete charge. Battery backup is very good. Network slow performance. Pubg lite network most problem.,Network slow performance,POSITIVE,,
3545,...for my sister . She is happy to have it. Overall nice performance.,Overall nice performance,POSITIVE,,
3546,...is available in 8k but now same in 10k.Performance is good. Overall in this price range a good product,Performance is good,POSITIVE,,
3547,...Bad performance uses Internet nd WiFi Cantivity nd run you tube run by,Bad performance uses Internet,NEUTRAL,,
3548,...High performence.,High performence,NEUTRAL,,
3549,...calls automatically gets disconnected. Poor performance.,Poor performance,NEGATIVE,,
3550,...Nice performance,Nice performance,NEUTRAL,,
3551,...increasing. The battery is really good. It last almost a day with heavy usage. The display is not very bright and hence,It last almost a day with heavy usage,POSITIVE,,
3552,...Good performance but display poor,Good performance,NEGATIVE,,
3553,...Mobile worth the cost. Good performance,Good performance,POSITIVE,,
3554,...working poorVoice output was very poorPerformance was very very poor,Performance was very very poor,NEGATIVE,,
3555,...Mobile performance is very good. I am very happy. Thank you flipkart.,Mobile performance is very good,POSITIVE,,
3556,...Worst camera....   Worst performance ......,Worst performance,NEGATIVE,,
3557,...Good performance,Good performance,NEUTRAL,,
3558,...This phone is to slow to respond any function,phone is to slow,NEUTRAL,,
3559,...Performance wise it's good phone in this range but surprisingly front camera do not have,Performance wise it's good phone in this range,POSITIVE,,
3560,...No better performance,No better performance,POSITIVE,,
3561,...superb performance & nice look,superb performance,POSITIVE,,
3562,...Excellent mobile good camera view nice performance,Excellent mobile good camera view nice performance,POSITIVE,,
3563,...all features is good on this prize thanks for flipkart for product,features is good,POSITIVE,,
3564,...camera is very poor.Redmi sellers and performance  is a very poor.,performance  is a very poor,NEGATIVE,,
3565,...Very nice performance. Battery backup very good.,Very nice performance,POSITIVE,,
3566,...Good phone with good performance. Liked it. Value for money ï¿½,Good phone with good performance,POSITIVE,,
3567,...Although it has 4gb ram. Still this mobile was hanging while using pubg lite.,Still this mobile was hanging while using pubg lite,NEUTRAL,,
3568,"...The look is classy, performance is good, price is worth it. Battery is perfect.",performance is good,POSITIVE,,
3569,...Good product ð best performanc,Good product ð best performanc,POSITIVE,,
3570,"...segment. I got made in China product , but overall performance is good.",overall performance is good,POSITIVE,,
3571,...Good! But low performance by Price! Price may be low,low performance by Price,NEGATIVE,,
3572,...Very Good Deviceð. If you Want more features than Look a,Very Good Device,POSITIVE,,
3573,...Excellent quality & performance,Excellent quality & performance,NEUTRAL,,
3574,...budget....Display is not so good...But overall performance is good...Camera quality is bad....,overall performance is good,NEUTRAL,,
3575,...I liked very good features for new trend,I liked very good features for new trend,POSITIVE,,
3576,...Good performance,Good performance,NEUTRAL,,
3577,...Good product. Excellent performance,Excellent performance,POSITIVE,,
3578,...Phone look is nicePerformance is slowDelivery service of Flipkart is awesome,Performance is slow,POSITIVE,,
3579,...days use.Decent phone at this range. Overall good performance and great battery life. I encountered the,Overall good performance,POSITIVE,,
3580,...Phone is very very good for performance no doubt about it  buy it friends Naga Tenali,very very good for performance,POSITIVE,,
3581,...Average performance,Average performance,NEUTRAL,,
3582,...Good performance,Good performance,NEUTRAL,,
3583,...Processor is low graphics low battry good totally this handset useful,Processor is low graphics low battry good totally,POSITIVE,,
3584,...Overall good performance.,Overall good performance,POSITIVE,,
3585,...Nice and perfect mobile and osm all performance,perfect mobile and osm all performance,POSITIVE,,
3586,...Battery is awesome performance is good camera is averageBut display is not good,performance is good,POSITIVE,,
3587,...MOBILE WAS GOOD BUT GAMING IS BAD IT DIDN'T  HANDLE PUBG WOTH HIGH GRAPHICS  AND CAMERA SO BAD LESS QUALITY,GAMING IS BAD IT DIDN'T  HANDLE PUBG WOTH HIGH GRAPHICS,NEGATIVE,,
3588,...technician visit. It's all fraud.con'sphone is very slow.even for candy crush game.It's taking 2,phone is very slow,NEGATIVE,,
3589,...good but can better. Good value for money. Satisfied with performance uptill now.,Satisfied with performance,POSITIVE,,
3590,...Camera is averageDisplay quality is poor Performance is ok not too good,Performance is ok not too good,NEGATIVE,,
3591,...Very Good Performance.,Good Performance,POSITIVE,,
3592,...This phone is average   For normal usage not for  games like pubg.,For normal usage not for  games like pubg,NEGATIVE,,
3593,"...Excellent phone with better performance, battery, camera and it's worth of money",Excellent phone with better performance,POSITIVE,,
3594,...Good for normal useage,Good for normal useage,NEUTRAL,,
3595,...Very good performance,good performance,POSITIVE,,
3596,...Perfect delivery & performance is nice value of money..,performance is nice value of money,POSITIVE,,
3597,...piece for my mother. It's an affordable and has some good features. Its been over 10 days. And right now the,has some good features,POSITIVE,,
3598,...Battery gives good performance.,gives good performance,POSITIVE,,
3599,...Very nice product must buy fabulous outstanding performance,nice product must buy fabulous outstanding performance,POSITIVE,,
3600,...Over good performance,Over good performance,POSITIVE,,
3601,...Not satisfied with camera but overall performance is good,overall performance is good,POSITIVE,,
3602,"...Phone is good, performance is goodLow type of camera Heating issues, and battery drainage problemValue of money",performance is goodLow type of camera Heating issues,POSITIVE,,
3603,...One the worst phone  in Rs9999. Camera and performance is very bad. It's working very slow. Only battery is,performance is very bad,NEGATIVE,,
3604,...Nice Phone .Got it for 9499. Overall performance is good.,Overall performance is good,POSITIVE,,
3605,...Mobile is good but performance & processing is slow .,processing is slow,POSITIVE,,
3606,...Superb performance in this price range,Superb performance in this price range,NEUTRAL,,
3607,...other high end devices but does the job.Processor is fast and good.Ui is also sleek and with less,Processor is fast,NEUTRAL,,
3608,"...I gifted it to my dad, and he is very satisfied with the performance and he recommended it for day to day work",he is very satisfied with the performance,POSITIVE,,
3609,...Performance is good but not happy with camera quality....,Performance is good,NEGATIVE,,
3610,"...Till now I liked the phone !! Using for daily normal usage no games only for WhatsApp,FB and email with phone calls doing a pretty",Using for daily normal usage no games only for WhatsApp,POSITIVE,,
3611,... a best quality smartphone is redmi 8.....and better performance is best...sound quality and display quality ,nd better performance is b,POSITIVE,,
3612,...Good performance,Good performance,NEUTRAL,,
3613,"...value, bought emerald green amazing colour. Performance is quite good bused NY my mother so not tested any games",Performance is quite good,POSITIVE,,
3614,...Display is badBattey is averagePerformance is ausomeValue of moneyTotally product is good,Performance is ausome,POSITIVE,,
3615,...Good quality very nice performance,quality very nice performance,POSITIVE,,
3616,"...so mobile, not so much good, not bad. But processing is slow.",processing is slow,POSITIVE,,
3617,"...very good, the battery backup is very good, performance is also excellent.",performance is also excellent,POSITIVE,,
3618,...cheap and best performance for money,best performance,POSITIVE,,
3619,"...Okay but Display not HD  Bettery good camera poor performance Bettery,Ram,rom, okay mobile prossing poor. sound",Display not HD  Bettery good camera poor performance Bettery,NEGATIVE,,
3620,"...I am not using this phone, but hope performance will be better",hope performance will be better,POSITIVE,,
3621,...Best smartphone with best performance at this price and battery backup is awasome,Best smartphone with best performance,POSITIVE,,
3622,"...best phone in best price. No problem , fast phone. Thanks to flipkart for delivery in two",fast phone,POSITIVE,,
3623,...average performance,average performance,NEUTRAL,,
3624,...Value for money... suoerb perfomance,suoerb perfomance,NEUTRAL,,
3625,"...children, watching YouTube and Facebook. Till now I have found performance is satisfactory. It is overall a good product.",Till now I have found performance is satisfactory,POSITIVE,,
3626,...It is a very good phone. Camera and processer is not so good. But according to the Price all Features,processer is not so good,POSITIVE,,
3627,...Good productNice battery backup Awesome performance,Awesome performance,POSITIVE,,
3628,...Camera is medium but not goodBattery is goodPerformance is goodDisplay is goodLooking wise is,not goodBattery is goodPerformance,POSITIVE,,
3629,...Very happy to redmi 8 mobile performance,Very happy to redmi 8 mobile performance,POSITIVE,,
3630,...Good phone with great performance,Good phone with great performance,POSITIVE,,
3631,...Good performance,Good performance,NEUTRAL,,
3632,...Phone looks great and perfomance is good. Camera is disappointment as not so good,perfomance is good,POSITIVE,,
3633,...This device is good in this range....flipkart service too good,device is good,POSITIVE,,
3634,...Amazing product with no problems.... Very super fast processor...... And use 2 use.,super fast processor,POSITIVE,,
3635,...Nice phone Good performance,phone Good performance,POSITIVE,,
3636,...so dont worry Audio was good  satisfiedPerformance is also good and satisfiedLast thing camera  that is,Performance is also good,POSITIVE,,
3637,...Nice product and performance is very nice,performance is,POSITIVE,,
3638,...Performance is good but Camera is not so as experienced in earlier,Performance is good,POSITIVE,,
3639,...Nice product At rs.7999Performance is good but not betterDisplay quality is bad.when,Performance is good,POSITIVE,,
3640,...Very bad performance because free fire jese game smooth graphic me lag ho rhe he redmi your disappointed with me,Very bad performance because free fire jese game smooth graphic me lag ho rhe he redmi your disappointed with me,NEGATIVE,,
3641,...something different or new go for narzo... but this one is a best value for money with a overall good performance...,this one is a best value for money with a overall good performance,POSITIVE,,
3642,...screen. Overall its a good package for user. Performance is good as always Mi provides customers. Got it,Performance is good,POSITIVE,,
3643,"...camera as the priority should think twice. Speed is good, though can't say about middle and high",Speed is good,POSITIVE,,
3644,...phone and his Younger Brother(Redmi 8a) have the same processor...Let's think about it......,have the same processor,NEUTRAL,,
3645,"...this mobilesHowever price, battery and performance are good",performance are good,POSITIVE,,
3646,...1.Best under 10k budget segment mobile2.Camera is average performance3.Good battery backup but charger adopter,Camera is average performance,NEUTRAL,,
3647,...Excellent performance. Brilliant features .Highly recommended,Excellent performance,POSITIVE,,
3648,"...7999 , very good mobile at this price , performance is excellent , great battery life undoubtedly you can",performance is excellent,POSITIVE,,
3649,"...Fantastic package and good performance, It's feel like a Using performance like one plus, I think the only","performance, It's feel like a Using",POSITIVE,,
3650,"...Bought this phone for my Grandmother, overall good performance.Not suitable for high usage but quite satisfied",overall good performance,POSITIVE,,
3651,"...Normal usage phone,but quality is good, normal usage only",normal usage only,POSITIVE,,
3652,...Very good smartphone.and good performance.,good performance,POSITIVE,,
3653,...Internet slow,Internet slow,NEUTRAL,,
3654,"...Battery life is awesomeð , mobile performance is also goo", mobile performance is also goo,NEUTRAL,,
3655,...Processor is quite slow,Processor is quite slow,NEUTRAL,,
3656,...Very nice! And pubg is very good performance and battery is extremely good,And pubg is very good performance,POSITIVE,,
3657,...value for money in every aspect but the mi could had been good in processor.Although it is worth of money product as,could had been good in processor,POSITIVE,,
3658,"...Value for money phone with good features , display, battery and colour",Value for money phone with good features,POSITIVE,,
3659,...This mobile is good performance but camera is not done,This mobile is good performance,POSITIVE,,
3660,...It is getting hang within week...very poor performance.,very poor performance,NEGATIVE,,
3661,"...Nice product, and good performance",good performance,POSITIVE,,
3662,...Display 10/3.All performance Good.Budget mobile.,All performance Good,NEUTRAL,,
3663,...is not possible.Battery Backup is good.Call Quality is also good,Call Quality is also good,POSITIVE,,
3664,...Performance is very good but display is dull,Performance is very good,NEGATIVE,,
3665,"...Really in this cost this phone is good, also good features.battery is good",also good features,POSITIVE,,
3666,...Awesome mob.....Value for money and nice performanceLoved it,nice performance,POSITIVE,,
3667,...Good device... Cemara is very low quality.. Battery,Good device,NEGATIVE,,
3668,...awesomeSound goodCamera good Display goodPerformance good (I'm not a game boy),Performance good,POSITIVE,,
3669,"...recorder, screen short and many more.4. Performance is good and  I did not face heating problem till",Performance is good,POSITIVE,,
3670,"...Battery is too good in this range , and performance is also powerful as a 4 gb ram varient . I will must say",performance is also powerful,POSITIVE,,
3671,...for money..... Good battery backup.... Smooth performance,Smooth performance,POSITIVE,,
3672,...Battery timing after 6 month is worst and processing is slow,processing is slow,NEGATIVE,,
3673,...Camera is bad performance is good,Camera is bad performance is good,NEGATIVE,,
3674,...Good phone for normal usage.,Good phone for normal usage,NEUTRAL,,
3675,...REDMI 8 MOBILE.. GOOD BATTERY PACKUP .. AND ALL ARE EXCELLENT PERFORMANCE .. I LOVE REDMI 8,ALL ARE EXCELLENT PERFORMANCE,POSITIVE,,
3676,...Battery is very Good but charging is too slow Processer is week camera is very bed,charging is too slow Processer is week camera is very bed,POSITIVE,,
3677,...camera quality very worst and phone performance is good if u want below budget phone go for it u,phone performance is good,NEGATIVE,,
3678,...The battery backup is very nice. It is performace is nice and value for money.,performace is nice,POSITIVE,,
3679,...Best budget mobile under 10k But perfomance is too badOtherwise nice mobile,perfomance is too bad,POSITIVE,,
3680,...Best budget mobile under 10k But perfomance is too badOtherwise nice mobile,perfomance is too bad,POSITIVE,,
3681,...Very good performance of this phone specialy bATTERY bACKUP,Very good performance of this phone specialy bATTERY bACKUP,POSITIVE,,
3682,...decent.Battery performence very good.Processor is also very good.No Lag anytime.Review after using 1 month,Processor is also very good,NEGATIVE,,
3683,...Outstanding performance,Outstanding performance,NEUTRAL,,
3684,...redmi 5 has better camera than this mobile.Performance is also poor.,Performance is also poor,NEGATIVE,,
3685,...Processor is very slow ... And over all good ... Good for normal,Processor is very slow,POSITIVE,,
3686,...It's a decent phone with decent cameras average performance good for normal usage,It's a decent phone with decent cameras average performance good for normal usage,POSITIVE,,
3687,...Beautiful.. excellent..nice performance,nice performance,NEUTRAL,,
3688,"...Good spec and good performance but this got one severe issue, mobile bends",good performance,NEGATIVE,,
3689,...Very good performance and looking also,Very good performance,POSITIVE,,
3690,...Good product nice performance,Good product nice performance,POSITIVE,,
3691,"...Good features, performance is so good. Camera is not up to the mark. Battery is",performance is so good,POSITIVE,,
3692,...Phone is ok with it's price but camera and performance are quite low,performance are quite low,NEGATIVE,,
3693,...Good performance,Good performance,NEUTRAL,,
3694,...Value for money average camera and good performance,good performance,POSITIVE,,
3695,...range. Very satisfied with this phone. Very good performance,Very good performance,POSITIVE,,
3696,...works upto 2 days without any problem. Performance is also good .,Performance is also good,POSITIVE,,
3697,...Super performance and nice delivery,Super performance,POSITIVE,,
3698,...display quality and camera performance...Other than that it's a good phone with good speaker quality with good overall performance...,Other than that it's a good phone with good speaker quality with good overall performance,POSITIVE,,
3699,"...Thank u so much flipkart,  awesome mob all are good performance,  i am very haappy",awesome mob all are good performance,POSITIVE,,
3700,...Performance very good,Performance very good,POSITIVE,,
3701,...price.Nice and big display.Superb camera.Good performance.Best battery back up.Quick charge.Stylish,Good performance,NEUTRAL,,
3702,...Front camera is pretty good. Performance is also good.Best phone in this range. One must go for,Performance is also good,POSITIVE,,
3703,...Over all good performance....,Over all good performance,POSITIVE,,
3704,...Good phone & good performance,good performance,POSITIVE,,
3705,...Very high performance and look and display is Very nice I like,Very high performance,POSITIVE,,
3706,...Back camera not as good as I thoughtOverall performance is ok.,Overall performance is ok,NEGATIVE,,
3707,...Best performance â£ï¸â£ï¸Best camera,Best performance â£ï¸â£ï¸Best camera,NEUTRAL,,
3708,"...Phone is fine, no issues with anything. Processor could have been better though.",Processor could have been better,POSITIVE,,
3709,...Good performance,Good performance,NEUTRAL,,
3710,...Good and excellence performance,Good and excellence performance,POSITIVE,,
3711,...camera picture and video quality very high . Good performance,Good performance,POSITIVE,,
3712,...excellent perfomance,excellent perfomance,NEUTRAL,,
3713,...  Good battery backup.  Good display.  Nice performance.  Camera is avarage.  According to the price,Nice performance,POSITIVE,,
3714,...range. No notification LED. Poor camera and worst low-light performance.,worst low-light performance,NEGATIVE,,
3715,...Best budget smartphone under 10k. Amazing performance with in time delivery from Flipkart. Go for it.,Amazing performance with in time delivery from Flipkart,POSITIVE,,
3716,...Good performance,Good performance,NEUTRAL,,
3717,...Good performance,Good performance,NEUTRAL,,
3718,...Very bad phone Performance was very slowDon't buy this phone The price was very,Performance was very slow,NEGATIVE,,
3719,...Battery Backup is awesome . Average performance. Poor Camera quality.,Average performance,POSITIVE,,
3720,...Battery Backup is awesome . Average performance. Poor Camera quality.,Average performance,POSITIVE,,
3721,"...disrupted our sense of value of a product. This is a good device with 4gb of RAM and 64gb of emmc 5.1 storage, but the price",This is a good device with 4gb of RAM,POSITIVE,,
3722,...Am happy with mobile performance.. Excellent..,Am happy with mobile performance,POSITIVE,,
3723,...This phone is good but back camera is not good just average like a 5 mp camera battery backup is good performance is nice & thanks filpkart,back camera is not good just average like a 5 mp camera battery backup is good performance is nice,POSITIVE,,
3724,...Good performance and excellent battery backup but I not comes,Good performance,POSITIVE,,
3725,...A really good device except for camera...,A really good device,POSITIVE,,
3726,"...a good choice at this price range. The performance is really good. The phone can run for more than 1 day,",performance is really good,POSITIVE,,
3727,...Nice this phone is good and the performance is also good,performance is also good,POSITIVE,,
3728,...Best mobile with best processer in less money,Best mobile with best processer in less money,POSITIVE,,
3729,...Sound quality is not extraordinary. But good performance,good performance,NEGATIVE,,
3730,...difference is camera battery and processorProcessor is great for this price,Processor is great,POSITIVE,,
3731,...Best phone CAMERA ð· best performance i think good phone longer battery 24 hour runnin,Best phone CAMERA ð· best performance i think good phone longer battery 24 hour runnin,POSITIVE,,
3732,...Battery gud -5*Display gud -4*Performance gud -5*Value for money gud-5*,Performance gud -5,NEUTRAL,,
3733,...Camera quality is not good.But mobile performance is too good.But mobile  provide very rare case in covid19,mobile performance is too good,NEUTRAL,,
3734,...for my friend.... Attractive colors and good performance and battery life.... I recommend this,good performance,POSITIVE,,
3735,......phone & charger both are heating...Performence is average...â­â­â­ Star rating is suitable for this phone,Performence is average,NEUTRAL,,
3736,...Good performence,Good performence,NEUTRAL,,
3737,...Phone's performance is very good. Thank you Flipkart,Phone's performance is very good,POSITIVE,,
3738,...Awesome that's so cool..loved it so much.. fantastic performance....,fantastic performance,POSITIVE,,
3739,...Phone is bit slow and lot of pop up messages are default set,Phone is bit slow,NEUTRAL,,
3740,...quality and selfie fornt camera avarege.. phone performance good but camera is very bad quality...,phone performance good,NEGATIVE,,
3741,...Good performance ï¿½ï¿½,Good performance ï¿½,NEUTRAL,,
3742,......Massive 5000 mah battery superb...Also goood performance especially speed....Good sleeky design....bought blue color,Also goood performance especially speed,NEUTRAL,,
3743,...Good Battery backup nice selfie overall performance excellent,Good Battery backup nice selfie overall performance excellent,POSITIVE,,
3744,...Very good mobile for daily life use.no need high graphics and high processor phone with high budget,no need high graphics,POSITIVE,,
3745,...Nice Product. Nice Performance,Nice Performance,POSITIVE,,
3746,...Overall performance is awesome.. EXCELLENT BATTERY BACKUP ð¤© But camer,Overall performance is awesome,POSITIVE,,
3747,...Super Mobile Awesome Performance...,Super Mobile Awesome Performance,POSITIVE,,
3748,...battery.. Nice camera ..But poor display...Good performance...ï¿½,Good performance,NEGATIVE,,
3749,...Camera is not so good. Battery is not goodPerformance is little bit good. You cannot use it for heavy task it will,Performance is little bit good,NEGATIVE,,
3750,...Good performance,Good performance,NEUTRAL,,
3751,...Low performance,Low performance,NEUTRAL,,
3752,... Etc. . In this phone we get SD 439.. Phone has a heating issue in normal usage.Screen is not bad. But not also very good,Phone has a heating issue in normal usage,POSITIVE,,
3753,"...inbuilt features and beautiful interface) and good performance under daily use, Games like COC, Clash of clans, runs",good performance under daily use,POSITIVE,,
3754,...Very good product and amazing performance,amazing performance,POSITIVE,,
3755,...Phone is hanging sometimes and camera quality is not good,Phone is hanging sometimes,NEGATIVE,,
3756,...Display is ok for the prise. Performance? This phone share same processor with much cheaper 7a.,This phone share same processor with much cheaper 7a,POSITIVE,,
