Causal Phrase,Sentiment,,
great performance,NEUTRAL,,
Exilent performence,NEUTRAL,,
Nice performance,NEUTRAL,,
mobile hanging problem,NEGATIVE,,
mobile Hanging problem,NEGATIVE,,
very bad performence,NEGATIVE,,
Phone is hanging,NEUTRAL,,
Very good phn best performance in this price,POSITIVE,,
performance is very slow,NEUTRAL,,
Good performance,POSITIVE,,
Phone is hanging,NEUTRAL,,
Good performance,NEUTRAL,,
hanging issue,NEGATIVE,,
phone hanging sometime,POSITIVE,,
The fon is hanging very much,NEUTRAL,,
good performance,POSITIVE,,
This device is a very good future,POSITIVE,,
Good performance,NEUTRAL,,
Super performance,POSITIVE,,
performance was very slow,NEUTRAL,,
Performance is very good,POSITIVE,,
It has some cons like slow processor,POSITIVE,,
has really good features,POSITIVE,,
hardware is goob,NEGATIVE,,
phone hangs,NEUTRAL,,
good performance,POSITIVE,,
awesome performance,POSITIVE,,
Excellent more good features this budget range,POSITIVE,,
this phone average performance,NEUTRAL,,
Slow processor,NEUTRAL,,
overall performance is good,NEUTRAL,,
Extremely Good with Look & Performance,POSITIVE,,
Good performance,NEUTRAL,,
battery performance just good,POSITIVE,,
Phone gets hanged often on normal usage itself,NEUTRAL,,
very slow performance,NEUTRAL,,
nice performance,NEUTRAL,,
I I think good product under 10000 rupees good camera and performance,POSITIVE,,
performance also great,POSITIVE,,
superb performance,POSITIVE,,
Very nice performance,POSITIVE,,
Overall it gives a good performance,POSITIVE,,
Processor is very slow,NEUTRAL,,
also amazing performance,POSITIVE,,
Mobile is hanging,NEUTRAL,,
Supar performance,NEUTRAL,,
Performance are very good,POSITIVE,,
display is not good brightness is bad performance is not Better performance should be more better company should think about it,NEGATIVE,,
Excellent performance,POSITIVE,,
Very good look and performance,POSITIVE,,
performance was good,POSITIVE,,
Good features,POSITIVE,,
good colour with good performance phone,POSITIVE,,
better performance,POSITIVE,,
Bad performance slow phone,NEUTRAL,,
performance is average,NEUTRAL,,
Very Good performance,POSITIVE,,
performance is bad,NEGATIVE,,
Good performance ð¤ï¿½,NEUTRAL,,
Very good performance,POSITIVE,,
Best range super performance,POSITIVE,,
Decent performance,POSITIVE,,
good features at low budget,NEGATIVE,,
performance is slow,NEUTRAL,,
internal storage for mom usage,POSITIVE,,
charging speed good,POSITIVE,,
Amazing performance,NEUTRAL,,
Best performance,NEUTRAL,,
performance is too good,POSITIVE,,
Value of money excelent performance,NEUTRAL,,
processor should be better than this,POSITIVE,,
Nice phone good look excellent performance,POSITIVE,,
Bad performance,POSITIVE,,
Sometimes the phone will be hanging problem,NEGATIVE,,
Nice Phone Amazing performance,POSITIVE,,
Super performance in this mobile value of money,POSITIVE,,
it is good device,POSITIVE,,
smooth performance,POSITIVE,,
Great performance,POSITIVE,,
good performance,NEGATIVE,,
good performance,NEGATIVE,,
Nice performance,NEUTRAL,,
Performance is best,POSITIVE,,
very nice performance,POSITIVE,,
Good performance,POSITIVE,,
Sometimes mobile is hanging,NEGATIVE,,
decent performance,POSITIVE,,
All redmi mobile is good performance,POSITIVE,,
Processor is very slow,NEGATIVE,,
Product Is Good Performance,POSITIVE,,
good delivery nice performance,POSITIVE,,
performance good,POSITIVE,,
Fast Processing,POSITIVE,,
Best phone in this price good performance,POSITIVE,,
good performance,POSITIVE,,
Osm performance,POSITIVE,,
awesome performance very nice battery life good camera quality,POSITIVE,,
excellent performance,POSITIVE,,
A good device,POSITIVE,,
good performance,NEUTRAL,,
best performance,POSITIVE,,
Phone is hanging,NEUTRAL,,
processor is slow,POSITIVE,,
good performence,NEUTRAL,,
superb performance by phone,POSITIVE,,
good performance,NEUTRAL,,
I expect more powerful processor in this price range,POSITIVE,,
slow performance,NEUTRAL,,
Good performance,NEUTRAL,,
It's a bit slow may be due to low performance processor,NEGATIVE,,
It's a bit slow may be due to low performance processor,NEGATIVE,,
the Ultimate performance,POSITIVE,,
Performance is good,NEGATIVE,,
mobile hanging,NEUTRAL,,
Good mobile in reasonable price with good features,POSITIVE,,
Best performance,POSITIVE,,
Very good performance,POSITIVE,,
Nice performance,NEUTRAL,,
Good performance,NEUTRAL,,
the mobile is hanging too much while calling,NEGATIVE,,
performance is bad,NEGATIVE,,
good performance,POSITIVE,,
Performance is so far good,POSITIVE,,
Average performance,NEUTRAL,,
phone is hanging,NEUTRAL,,
Good performance,POSITIVE,,
Fentastic battery  backup and performance,NEUTRAL,,
phone is hanging,NEUTRAL,,
Great phone with good performance,POSITIVE,,
good performance in this range,NEUTRAL,,
Phone is slow,NEUTRAL,,
Good Camera Battery Back Up Decent Camera & Performance,POSITIVE,,
good performance,POSITIVE,,
it's a very good phone with excellent performance,POSITIVE,,
Phone is hanging,NEUTRAL,,
features are good,POSITIVE,,
will be better cost and performance in 4gb ram users,POSITIVE,,
amezing performance,NEUTRAL,,
mobile is hanging,NEUTRAL,,
overall performance is Good,POSITIVE,,
good performance,NEUTRAL,,
Batry good performance bad,NEGATIVE,,
best performance,POSITIVE,,
Overall performace is gud,NEUTRAL,,
Absolutely very good performance,POSITIVE,,
Mobile hanging,NEUTRAL,,
performance is good,NEGATIVE,,
the phone hangs frequently even when the phone doesn't have much applications,NEGATIVE,,
Superb performance,NEUTRAL,,
Battery has good performance,POSITIVE,,
Battery has good performance,POSITIVE,,
performance not bad multitasking average. 4GB ram we can use only 2GB,POSITIVE,,
awesome features and performance,POSITIVE,,
it's good for normal usage,POSITIVE,,
my phone is hanging prob,NEGATIVE,,
Nice performance,NEUTRAL,,
it's a very good device in this range ï¿½,POSITIVE,,
Good Performance,NEUTRAL,,
phone continuously hangs from day 1 when we click the back button,NEUTRAL,,
very good performance,POSITIVE,,
features are good,POSITIVE,,
Processor is super fast,POSITIVE,,
In the first month of use it gave it's best performance,POSITIVE,,
Because it can give average to good performance in heavy games,POSITIVE,,
great experience good performance,POSITIVE,,
best performance features,NEUTRAL,,
Excellent performance,NEUTRAL,,
Good performance,NEUTRAL,,
performance is too good,POSITIVE,,
device really good in this price segment,POSITIVE,,
Very good performance,POSITIVE,,
good features in this range,NEUTRAL,,
really good performance,POSITIVE,,
Good performance,NEUTRAL,,
good processor in this range,POSITIVE,,
Performance is too bad,NEUTRAL,,
Performance Is Awesome,POSITIVE,,
Very good Performance,POSITIVE,,
performance very good,POSITIVE,,
superb performance in low budget,NEGATIVE,,
Performance is super,POSITIVE,,
average camera and performance,NEUTRAL,,
nice performance,POSITIVE,,
good performance,POSITIVE,,
features are good,POSITIVE,,
very poor performance,NEGATIVE,,
best performance,NEUTRAL,,
Performance is best,POSITIVE,,
excellent performance,NEUTRAL,,
Very bad performance,NEGATIVE,,
performance bad,POSITIVE,,
good performance,NEUTRAL,,
performance very good,POSITIVE,,
Overall performance is good for average use sometime toch freez,POSITIVE,,
Performace is good,POSITIVE,,
Good bt display and call senser it problem,NEGATIVE,,
Smooth experience,NEUTRAL,,
The good device under 8000,POSITIVE,,
Very good device,POSITIVE,,
nice performance,NEUTRAL,,
nice performance,NEUTRAL,,
Processor is far way slow,NEUTRAL,,
massive battery great performance,NEGATIVE,,
performance is better than other brands,POSITIVE,,
very good device,POSITIVE,,
Very bad performance,NEGATIVE,,
Mobile is hanging full to hanging you are cheat me,NEGATIVE,,
Very nice performance,POSITIVE,,
good performance,POSITIVE,,
fabulous performance by Redmi,POSITIVE,,
performance is best,POSITIVE,,
good performance,POSITIVE,,
no proper response from Flipkart side,NEGATIVE,,
performance is smooth,NEUTRAL,,
better performence battrey,POSITIVE,,
best performance,NEUTRAL,,
Speed is good,NEUTRAL,,
happy with the performance,POSITIVE,,
Fingerprint is slow,POSITIVE,,
Overall performance is decent,POSITIVE,,
Good device,NEUTRAL,,
Good features in the phone,NEUTRAL,,
little heating while playing heavy games,NEGATIVE,,
overall performance is very good considering the price,POSITIVE,,
phone performance good,POSITIVE,,
very slow processing,NEUTRAL,,
bad performance of battery,NEGATIVE,,
poor performance since brought,NEUTRAL,,
Its simply ok for normal useage,POSITIVE,,
phone is hanging frequently,NEUTRAL,,
Good performance,NEUTRAL,,
best performance,POSITIVE,,
Price wise good product or performance,POSITIVE,,
Very bad performance,NEGATIVE,,
Performance is very Nice,POSITIVE,,
Performance is good,POSITIVE,,
Superb performance,POSITIVE,,
mobile display gets hangs when we use multi-tasking,POSITIVE,,
mobile is hanging,NEUTRAL,,
Satisfied with performance,NEUTRAL,,
I m not heavy user 40 gb free in storage,NEGATIVE,,
high performance,NEUTRAL,,
good performance,NEUTRAL,,
phone is hanging frequently,NEUTRAL,,
very very nice mobile in budget very good performance really satisfied,POSITIVE,,
features is good,POSITIVE,,
performance good,POSITIVE,,
performance good,POSITIVE,,
excellent performance,NEUTRAL,,
performance is very bad,NEGATIVE,,
Performance is awesome,POSITIVE,,
nice performance,POSITIVE,,
Performance is good,POSITIVE,,
Very good performance,POSITIVE,,
this mobile performance best,NEGATIVE,,
Good performance in this price buy it now guys,NEUTRAL,,
it's very good phone for people who needs good performance with decent camera,POSITIVE,,
Slow performance,NEUTRAL,,
Phone hangs sometimes after call,NEUTRAL,,
very poor performance,NEGATIVE,,
this phone is hanging,NEUTRAL,,
performance is very good,POSITIVE,,
worest performance,NEUTRAL,,
good mobile performance better battery backup 13 hours,POSITIVE,,
good performance,NEUTRAL,,
performance is awesome,POSITIVE,,
performance is good,POSITIVE,,
thanku so much redmi it's my 5 redmi product nyc performance ðð½ï¿½,NEUTRAL,,
good performance,NEUTRAL,,
Slow processing,NEUTRAL,,
Display performance outstanding,NEUTRAL,,
Good performance,POSITIVE,,
excellent performance,NEUTRAL,,
west mobaile hanging display quality bad totally worest product your money west,NEGATIVE,,
performance is just like as Slow,POSITIVE,,
very bad performance,NEGATIVE,,
performance is excellent,POSITIVE,,
Good performance,NEUTRAL,,
performance is very bad,NEUTRAL,,
Best value best performance,POSITIVE,,
Best value best performance,POSITIVE,,
mobile hanging,NEUTRAL,,
Best performance,NEUTRAL,,
Phone is very slow,NEUTRAL,,
slow processing,NEUTRAL,,
performance is also good,POSITIVE,,
performance is very slow,NEUTRAL,,
low cost symply nice mobile gd performance,POSITIVE,,
"phone performance, camera quality is too good",POSITIVE,,
awesome performance,POSITIVE,,
performance was bad,NEGATIVE,,
Outstanding performance,NEUTRAL,,
great camera and battery performance,NEUTRAL,,
very good performance,POSITIVE,,
Good Device In this price,NEUTRAL,,
It is very gud device,NEUTRAL,,
performance is great,POSITIVE,,
nice performance,NEUTRAL,,
Very good performance by mi,POSITIVE,,
slow performance,NEUTRAL,,
"best battery backup ,speed, and performance",POSITIVE,,
performance is very good,POSITIVE,,
Very good performance,NEGATIVE,,
good performance,POSITIVE,,
superb performance,NEUTRAL,,
the phone hangs sometimes,NEGATIVE,,
good performance for daily usage,NEUTRAL,,
phone is hanging,NEUTRAL,,
4 GB ram ensures top performance,POSITIVE,,
phone is slow,POSITIVE,,
the phone hangs out too,NEUTRAL,,
performance is too bad,NEUTRAL,,
mobil hanging problem,NEGATIVE,,
Nice performance,NEUTRAL,,
performance is ok,POSITIVE,,
awesome performance this mobile,NEUTRAL,,
good performance,NEUTRAL,,
very good performance of redmi 8 at all,POSITIVE,,
Best performance,POSITIVE,,
Mega booster sound system- Slow Processing time- Slow performance,POSITIVE,,
good performance,NEUTRAL,,
Mobile was hanging so many times in a minute,NEUTRAL,,
It is having good features,POSITIVE,,
Okay Phone with all the good features in this price,POSITIVE,,
this mobile is very good performance,POSITIVE,,
superb Performance,NEUTRAL,,
overall performance is good,POSITIVE,,
good  performance of the phon,POSITIVE,,
average performance,NEUTRAL,,
performance good,NEGATIVE,,
Best budget phone not for heavy usage only for normal usage like call whatsApp facebook insta etc,POSITIVE,,
Awsm phone with best performance at this price,POSITIVE,,
performance is average,NEUTRAL,,
ttery performance is very ver,POSITIVE,,
best performance with longer life battery,POSITIVE,,
Excellent performance,NEUTRAL,,
this is best performace not for gaming ðð hope my review helps you if you wanna gain some tech knowledge then just follow us on social media platforms YouTu,POSITIVE,,
mobile is good battery good performance i love redmi,POSITIVE,,
Good Phone with Good features,POSITIVE,,
Good features,POSITIVE,,
Performance is also good,POSITIVE,,
mobile is hanging,NEUTRAL,,
In terms of specs its has good specs for an basic user who only do multi-tasking on phone using basic apps as it has 4gb of RA,POSITIVE,,
& Battery Of this phone is better performan,POSITIVE,,
performance is good,NEGATIVE,,
good performance,NEUTRAL,,
It has good features,POSITIVE,,
nice performance,NEUTRAL,,
overall performance is very good,NEGATIVE,,
very nice performance,POSITIVE,,
good performance,NEUTRAL,,
Heavyweight phone performance good,POSITIVE,,
very good performance,NEGATIVE,,
good performance in this price segment,POSITIVE,,
outstanding performance  this range this phone jast osam,NEUTRAL,,
i brought three days back nice performance,POSITIVE,,
Fabulous performance for all features,POSITIVE,,
Overall good performance in budget,POSITIVE,,
there are many other options available with better camera and performance,POSITIVE,,
don't use the phone for gaming however the phone still hangs,NEUTRAL,,
don't use the phone for gaming however the phone still hangs,NEUTRAL,,
phone hangs during call,NEUTRAL,,
Good performance,NEGATIVE,,
very good device,POSITIVE,,
bad performance hung mobile,NEUTRAL,,
This Phone is good in price and features,POSITIVE,,
every item is good performance,POSITIVE,,
good performance,POSITIVE,,
best budget mobile and best performance,POSITIVE,,
amazing great performance,POSITIVE,,
very good performance,POSITIVE,,
Performance is good,POSITIVE,,
very good performance,POSITIVE,,
Performance is Very poor,NEGATIVE,,
Performance is good,POSITIVE,,
performance is average,POSITIVE,,
worst performance,NEUTRAL,,
processor is good,POSITIVE,,
it's lite wait good performance,POSITIVE,,
Features is Good,POSITIVE,,
over all good performance,POSITIVE,,
Phone sometime hanging,NEUTRAL,,
Good Performance,NEUTRAL,,
better performance than any other phone at same prize,NEUTRAL,,
nice performance,NEUTRAL,,
features are good,POSITIVE,,
nice performance,NEUTRAL,,
best performance,NEUTRAL,,
very worst performance,NEGATIVE,,
performance is too slow,POSITIVE,,
performance is too slow,POSITIVE,,
pretty good performance,POSITIVE,,
superb performance,NEUTRAL,,
product is nice performance,POSITIVE,,
very happy with the performance,POSITIVE,,
worst performance,NEUTRAL,,
performance is very good,POSITIVE,,
overall good performance,POSITIVE,,
Good performance as well,POSITIVE,,
Performance is overall good,POSITIVE,,
performance are the best,POSITIVE,,
best performance,POSITIVE,,
the phone is hanging don't buy waste product,POSITIVE,,
very good product and performance,POSITIVE,,
"very good battery backup of this mobile,I think it is snapgram process is very low then how to taken good performance",POSITIVE,,
"Low quality display and camera, performance also not that much good on my opinion",NEGATIVE,,
This mobile is very good performance,POSITIVE,,
phone is good performance,NEGATIVE,,
Good performance nice battery back,POSITIVE,,
Mobile hanging some times,NEUTRAL,,
Mobile hanging some times,NEUTRAL,,
very fast phone,NEUTRAL,,
awesome performance in this price,NEUTRAL,,
Average performance,NEUTRAL,,
Performance Gud,NEGATIVE,,
again unlock for good performance,POSITIVE,,
Mobile hanging frequently,NEUTRAL,,
poor performance,NEUTRAL,,
Phone is hanging a bit,POSITIVE,,
good performance,NEUTRAL,,
performance is superb,POSITIVE,,
Very bad performance,NEGATIVE,,
performance is good,NEUTRAL,,
MI mobile 8 is very good performance thank you Flipkart,POSITIVE,,
good features in low cost Best buy,POSITIVE,,
mobile was hanging continuously bought on 10days back,NEUTRAL,,
very good performance,POSITIVE,,
good performance,POSITIVE,,
Performance good,POSITIVE,,
Very good device,POSITIVE,,
processor is slow,POSITIVE,,
Processing is very fast,POSITIVE,,
Nice performance,NEUTRAL,,
decent performance,NEUTRAL,,
phone is hanging problem h,NEGATIVE,,
NICE PERFORMANCE,POSITIVE,,
overall performance is good,POSITIVE,,
camera average performance,POSITIVE,,
good performance,POSITIVE,,
the phone is hanging repeatedly,NEUTRAL,,
the phone is hanging repeatedly,NEUTRAL,,
features are very good,NEUTRAL,,
nice mobile in low price with good features while comparing to high range mobile over than,POSITIVE,,
powerful processor,NEUTRAL,,
Battery will last for 3 days for normal usage,POSITIVE,,
Processor is same,POSITIVE,,
overall performance satisfied,POSITIVE,,
the performance of the phone is very good,POSITIVE,,
performance is very good,POSITIVE,,
battery life is very good awesome performance thnk u flipkart,POSITIVE,,
Great Performance,POSITIVE,,
specially gud performance of battery,POSITIVE,,
performance is amazing,POSITIVE,,
processing is very fast,POSITIVE,,
performance is awesome,POSITIVE,,
Nyc Performance,NEUTRAL,,
good performance,NEUTRAL,,
good performance,POSITIVE,,
My phone was hangs sometimes,POSITIVE,,
excelent performence,NEUTRAL,,
Performance are good,NEGATIVE,,
performance is poor,NEGATIVE,,
"is good, performance",POSITIVE,,
nice phone with good performance I love it's,POSITIVE,,
It's really good device,POSITIVE,,
it is very good device of your day to day activites like checking mails,POSITIVE,,
redmi 8 i use one month good performance phone,POSITIVE,,
very good performance,POSITIVE,,
performance is good camera is,POSITIVE,,
performance wise poor,POSITIVE,,
value for moneyð° nice  performance ðgood battery li,POSITIVE,,
"perfomance wise above average,battery backup is unbelievably high",POSITIVE,,
slow processor,NEGATIVE,,
good performance,POSITIVE,,
other than that Good performance,POSITIVE,,
The overall performance is good,POSITIVE,,
worst performance 4GB ram not working slow working,NEUTRAL,,
phone will hanging frequently,NEUTRAL,,
again Xiaomi proves their best performance in all products they are launching,POSITIVE,,
slow perfomance,POSITIVE,,
slow perfomance,POSITIVE,,
good performance,POSITIVE,,
processor is slow,NEGATIVE,,
very good performance this phone,POSITIVE,,
heavy uses bad performance,NEGATIVE,,
performance is good,POSITIVE,,
good performance mi,NEUTRAL,,
Aswome pho with good performance,POSITIVE,,
Performance is good,NEUTRAL,,
performance is too good,POSITIVE,,
Good Performance,NEUTRAL,,
overall performance is best,NEUTRAL,,
nice performance for a normal,NEUTRAL,,
Best Buzzet Mobile Phone & Best performance,POSITIVE,,
mobile have hanging,NEUTRAL,,
Performance is good,POSITIVE,,
excellent performance,NEUTRAL,,
Good performance,POSITIVE,,
Overall quality and performance is mind blowing,POSITIVE,,
super product value of the money super performance loved it thanks flip kart,POSITIVE,,
processor are slow,NEUTRAL,,
"Excellent performance in gamming,good battery backup,front camera is little bit Disappointed me,display is good at this price,rear camera is good for portrait mode",POSITIVE,,
Good Device with lowest price,NEGATIVE,,
performance is also good,POSITIVE,,
at low cost very good performance readmi8,POSITIVE,,
more better than other product superb performance,POSITIVE,,
excellent performance,NEUTRAL,,
good performance,NEUTRAL,,
good performance,POSITIVE,,
Performance is also good,POSITIVE,,
Performance is also good,POSITIVE,,
BEST PRICE GOOD PERFORMANCE,POSITIVE,,
the phone has great performance at this price,POSITIVE,,
there is same processor available,POSITIVE,,
after heavy usage of phone like using all apps,POSITIVE,,
verry nice performance,POSITIVE,,
The phone has got some good features like 4GB / 64GB,POSITIVE,,
64 gb internal storage,POSITIVE,,
good performance,NEUTRAL,,
Very good performance,POSITIVE,,
Great performance,NEUTRAL,,
nice performance,NEUTRAL,,
Processer is bit slow,NEGATIVE,,
good features with great camera,POSITIVE,,
Good performance,NEUTRAL,,
Performance is best,POSITIVE,,
Perfomance wise it is very good,POSITIVE,,
good device thanks Flipkart,POSITIVE,,
very slow processing,NEGATIVE,,
good performance,NEUTRAL,,
very slow processing,NEGATIVE,,
good performance,NEUTRAL,,
performance  is also good,POSITIVE,,
Fully satisfied with overall performance,POSITIVE,,
returned because of its poor performance,NEGATIVE,,
good performance,NEUTRAL,,
superb performance,NEUTRAL,,
processer is slow,NEGATIVE,,
good performance,POSITIVE,,
Very good features,POSITIVE,,
good performance,NEUTRAL,,
There are older versions like the R7 which had a much powerful processor 632,POSITIVE,,
excellent performance,POSITIVE,,
Excellent performance,POSITIVE,,
Continuously phone is hanging,NEUTRAL,,
performance is slow,POSITIVE,,
Nice performance,NEUTRAL,,
good better performance,POSITIVE,,
very nice his performance,POSITIVE,,
all other features are good battery life is awesome camera also good nice performance,POSITIVE,,
Performance is good,NEUTRAL,,
super performance,NEUTRAL,,
superb phone  bettey bukup good   excellent performance,POSITIVE,,
nice performanceð,NEUTRAL,,
super performance good battery life,POSITIVE,,
good performance this phone,POSITIVE,,
performance is average,NEUTRAL,,
Very good performance,POSITIVE,,
goog perfomence,NEUTRAL,,
processor should be better,POSITIVE,,
awesome performance,NEUTRAL,,
Good performance,POSITIVE,,
super performance,NEUTRAL,,
very satisfied with specifications and performance thank u Redmi,POSITIVE,,
SD 439 is not for heavy games like PUBG,POSITIVE,,
fast good device,POSITIVE,,
processor is very slow,NEGATIVE,,
processor is slow,POSITIVE,,
nice mobile from redmi thank you so much Flipkart for delivery on time very good communications without locator supplier good performance good patience time on delivery thank you once again,POSITIVE,,
awesome performance,NEUTRAL,,
nice mobile from redmi thank you so much Flipkart for delivery on time very good communications without locator supplier good performance good patience time on delivery thank you once again,POSITIVE,,
awesome performance,NEUTRAL,,
This phone Hangs n lags a little bit while doing multitasking,NEGATIVE,,
performance was very good,POSITIVE,,
awesome performance,NEUTRAL,,
awesome product best performance awesome look blue colour,POSITIVE,,
best performance at this price,POSITIVE,,
Very good performance,POSITIVE,,
best suited to user's who don't like to play heavy games,POSITIVE,,
after using 4 days i am reviewing it that it battery lasts for more than 2 dsys after moderate usage,POSITIVE,,
Phone is very slow,POSITIVE,,
"Good Camera, Battery, and Performance",POSITIVE,,
super performance,POSITIVE,,
performance was good,POSITIVE,,
super performance,NEUTRAL,,
Best performance,NEUTRAL,,
color looking awesome and phone performance also simply superb like cheap,POSITIVE,,
processor very slow,NEGATIVE,,
Performance smooth for day to day activity,NEUTRAL,,
performance is likely good,NEGATIVE,,
awesome performance,POSITIVE,,
Very Good Performance,POSITIVE,,
nice mobile & good performance,POSITIVE,,
Amazing performance I buy 2 pieces of this phon,NEUTRAL,,
awesome performance,POSITIVE,,
giving better performance to any other phone with its features with minimum price,POSITIVE,,
Wow Nice Performance,POSITIVE,,
amazing performance,NEUTRAL,,
Superbb performance,NEUTRAL,,
Amazing perfomance,NEUTRAL,,
powerful performance at this price range,POSITIVE,,
good performance,POSITIVE,,
The battery is good lasts more than 2 days for normal usage,POSITIVE,,
Very nice performance,POSITIVE,,
awesome performance,NEUTRAL,,
performance  is also pretty awesome,POSITIVE,,
awesome performance,NEUTRAL,,
overall performance is good,POSITIVE,,
This phone is value for money good for first time smartphone users for moderate usage,POSITIVE,,
i use multi tasking using split screen,NEGATIVE,,
This phone is value for money good for first time smartphone users for moderate usage,POSITIVE,,
i use multi tasking using split screen,NEGATIVE,,
performance also very good,POSITIVE,,
fully satisfied with this price and performance,POSITIVE,,
network problem very bad performance,NEGATIVE,,
Good features,NEUTRAL,,
processor shoud be better,POSITIVE,,
stunningly gorgeous device with great performance,POSITIVE,,
phone is hanging,NEUTRAL,,
Over allll good performance at this stage,POSITIVE,,
performance is low,POSITIVE,,
Very good performance,POSITIVE,,
awesome performance,POSITIVE,,
Fast phone,NEUTRAL,,
good performance,POSITIVE,,
processor is good,POSITIVE,,
good processing speed,POSITIVE,,
awesome performance,NEUTRAL,,
awesome performance,NEUTRAL,,
phone hangs unusual number of times,POSITIVE,,
great performance,POSITIVE,,
good performance nice phone,POSITIVE,,
superb performance,NEUTRAL,,
best performance,NEUTRAL,,
best performance,NEUTRAL,,
outstanding performance,POSITIVE,,
Better performance,POSITIVE,,
good performance on rate,NEUTRAL,,
performance is very bad,NEGATIVE,,
good in performance,POSITIVE,,
performance is poor,POSITIVE,,
Average performance for day today social media use,NEUTRAL,,
fingerprint sensor is slow,NEUTRAL,,
performance was well good,POSITIVE,,
overall performance is best,POSITIVE,,
best camera best battery backup best performance,POSITIVE,,
Very nice performance,POSITIVE,,
features are good accept these,POSITIVE,,
wonderful best performance,POSITIVE,,
good performance,POSITIVE,,
Good performance,NEUTRAL,,
best phone on that price overall performance is good,NEUTRAL,,
processor is very slow,NEUTRAL,,
good performance,POSITIVE,,
Good performance,NEUTRAL,,
value for money smartphone by xaiomi with the all gud features,NEGATIVE,,
i like it overall performance good,POSITIVE,,
processor is slow,POSITIVE,,
very fast performance compared with other phones,POSITIVE,,
performance is good,POSITIVE,,
performance is averagely smooth,POSITIVE,,
processor could be better,POSITIVE,,
Features are good,NEGATIVE,,
Good Products Nice Performance in this prize,POSITIVE,,
Good perfomance,NEUTRAL,,
performance wise its an above average one,POSITIVE,,
Performance is slightly low,POSITIVE,,
performance is best,POSITIVE,,
Very bad performance,NEGATIVE,,
Good performance,POSITIVE,,
overall good performance,POSITIVE,,
good performance all everything so good,POSITIVE,,
expected a better processer,POSITIVE,,
performance  is good,POSITIVE,,
internet very slow while 4G also,NEGATIVE,,
just awesome performance,POSITIVE,,
this mobile is best for heavy user of YouTube,POSITIVE,,
bad performance,NEGATIVE,,
good device,NEUTRAL,,
good performance,POSITIVE,,
Overall performance is good,NEUTRAL,,
Can run big games,POSITIVE,,
excellent performance,NEUTRAL,,
camera very low performance,NEGATIVE,,
Good performance,NEUTRAL,,
nice performance,POSITIVE,,
Awesome performance regarding the phone specification,POSITIVE,,
Very good performance,POSITIVE,,
good for normal usage,POSITIVE,,
performance is very very very good,POSITIVE,,
this phone is hanging complent don't buy,NEUTRAL,,
internal storage is best,POSITIVE,,
Redmi takes 1 thousand extra only for his name Phone is bit heavy lagging in some application Sound quality Its a Good device from redmi,POSITIVE,,
good features,NEUTRAL,,
Amazing performance,NEUTRAL,,
Amazing  performance with good battery life,POSITIVE,,
poor performance,NEUTRAL,,
processor same as previous models,NEGATIVE,,
awesome performance,NEUTRAL,,
Best performance in this price range,POSITIVE,,
awesome performance,NEUTRAL,,
Best performance in this price range,POSITIVE,,
good phone in this range good performance,POSITIVE,,
Device is good,POSITIVE,,
feel very good battery excellent performance only for general users not for big gaming camera is good,POSITIVE,,
Performance is Good,POSITIVE,,
Performance is good,POSITIVE,,
fantastic performance,NEGATIVE,,
overall performance at this price range is awesome,POSITIVE,,
good performance,POSITIVE,,
great performence,POSITIVE,,
good phone overall performance is good,POSITIVE,,
great specs and performance for a budget phone,NEUTRAL,,
best performance,POSITIVE,,
Performance is good,POSITIVE,,
nice performance ððð super ph,POSITIVE,,
Excellent performance brilliant camera,POSITIVE,,
Average performance with minimal Gaming,POSITIVE,,
worthy for this price good performance,POSITIVE,,
with good features,POSITIVE,,
worthy for this price good performance,POSITIVE,,
with good features,POSITIVE,,
mobile performance superb,POSITIVE,,
super performance,POSITIVE,,
performance of browsing internet and apps is slow,POSITIVE,,
nice performance,NEUTRAL,,
best for normal usage like social apps,POSITIVE,,
Excellent performance,POSITIVE,,
Phone is hanging,NEUTRAL,,
performance is good,POSITIVE,,
great processor,POSITIVE,,
performance is good,POSITIVE,,
outstanding performance,POSITIVE,,
Best Buy awesome performance,POSITIVE,,
good performance,NEUTRAL,,
Good features in such price,POSITIVE,,
good fone battery and performance good,POSITIVE,,
Good performance,NEUTRAL,,
imaging look fast charging fast processor,POSITIVE,,
phone is little slow,NEUTRAL,,
performance is also low,NEGATIVE,,
good performance,POSITIVE,,
cool performance,POSITIVE,,
in this price we get a better processor,POSITIVE,,
Performance is ok,POSITIVE,,
nice performance good quality camera I liked that,POSITIVE,,
performance best,POSITIVE,,
awesome performance,NEUTRAL,,
Mobile is hanging in pro mode in camera,POSITIVE,,
awesome mobile and excellent performance,POSITIVE,,
Mobile is hanging in pro mode in camera,POSITIVE,,
awesome mobile and excellent performance,POSITIVE,,
performance is good,POSITIVE,,
nice performance,POSITIVE,,
if redmi have better processor in redmi 8 would be great,POSITIVE,,
performance is good,POSITIVE,,
top performance,NEGATIVE,,
this mobile is good performance,POSITIVE,,
Mi xiomi All in one performance awesome for better for all mobile brand,POSITIVE,,
super fast phone,POSITIVE,,
Very Good Device under this budget,POSITIVE,,
nice performance,POSITIVE,,
performance is very good,POSITIVE,,
performance is good,POSITIVE,,
speakers are very loud,NEUTRAL,,
Performance is really poor,POSITIVE,,
fabulous product with outstanding performance,POSITIVE,,
excellent performance,NEUTRAL,,
this take photo is very beautiful very good performance,POSITIVE,,
